frame_idx,timestamp,hand_velocity_left,hand_velocity_right,hand_acceleration_left,hand_acceleration_right,hands_present,grip_state_left,grip_state_right,hand_distance,trajectory_curvature,num_tools,tool_changed,tool_stability,num_interactions,contact_point_shift,contact_point_variance,interaction_density,interaction_rhythm,flow_magnitude,flow_uniformity,flow_discontinuity,direction_change,scene_change_score,visual_stability,activity_level,transition_score
0,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,1.000,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.100,0.000
3,0.100,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,1,0.000,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.067,0.933,0.100,0.750
6,0.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.500,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.069,0.931,0.100,0.000
9,0.300,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.667,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.070,0.930,0.100,0.000
12,0.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.750,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.100,0.900,0.100,0.000
15,0.500,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.600,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.145,0.855,0.000,0.750
18,0.600,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.667,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.168,0.832,0.000,0.000
21,0.700,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.714,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.165,0.835,0.000,0.000
24,0.800,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.750,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.153,0.847,0.000,0.000
27,0.900,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.778,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.131,0.869,0.000,0.000
30,1.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,1,0.700,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.131,0.869,0.100,0.750
33,1.100,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.727,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.139,0.861,0.100,0.000
36,1.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.750,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.143,0.857,0.100,0.000
39,1.300,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.769,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.121,0.879,0.100,0.000
42,1.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.786,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.117,0.883,0.100,0.000
45,1.500,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.800,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.172,0.828,0.100,0.000
48,1.600,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.812,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.135,0.865,0.100,0.000
51,1.700,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.824,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.152,0.848,0.100,0.000
54,1.800,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.833,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.144,0.856,0.100,0.000
57,1.900,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.842,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.156,0.844,0.100,0.000
60,2.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.800,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.168,0.832,0.000,0.750
63,2.100,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.810,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.170,0.830,0.000,0.000
66,2.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.818,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.187,0.813,0.000,0.000
69,2.300,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.826,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.184,0.816,0.000,0.000
72,2.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.833,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.178,0.822,0.000,0.000
75,2.500,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.840,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.171,0.829,0.000,0.000
78,2.600,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.846,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.140,0.860,0.000,0.000
81,2.700,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.852,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.140,0.860,0.000,0.000
84,2.800,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.857,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.174,0.826,0.000,0.000
87,2.900,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.862,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.164,0.836,0.000,0.000
90,3.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.897,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.169,0.831,0.000,0.000
93,3.100,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.897,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.237,0.763,0.000,0.000
96,3.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.897,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.139,0.861,0.000,0.000
99,3.300,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.897,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.138,0.862,0.000,0.000
102,3.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,1,0.897,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.057,0.943,0.000,0.750
105,3.500,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.897,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.111,0.889,0.000,0.000
108,3.600,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.897,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.044,0.956,0.000,0.000
111,3.700,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.862,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.167,0.833,0.000,0.750
114,3.800,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,1,0.828,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.039,0.961,0.000,0.750
117,3.900,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.862,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.017,0.983,0.000,0.000
120,4.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.862,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.010,0.990,0.000,0.000
123,4.100,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.862,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.065,0.935,0.000,0.000
126,4.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.862,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.060,0.940,0.000,0.000
129,4.300,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.862,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.076,0.924,0.000,0.000
132,4.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.862,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.052,0.948,0.000,0.000
135,4.500,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.862,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.008,0.992,0.000,0.000
138,4.600,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.862,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.009,0.991,0.000,0.000
141,4.700,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.828,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.023,0.977,0.000,0.750
144,4.800,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.828,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.037,0.963,0.000,0.000
147,4.900,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.862,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.054,0.946,0.000,0.000
150,5.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.862,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.059,0.941,0.000,0.000
153,5.100,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.862,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.050,0.950,0.000,0.000
156,5.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.862,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.054,0.946,0.000,0.000
159,5.300,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.862,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.062,0.938,0.000,0.000
162,5.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.862,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.046,0.954,0.000,0.000
165,5.500,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.862,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.045,0.955,0.000,0.000
168,5.600,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.862,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.056,0.944,0.000,0.000
171,5.700,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.862,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.066,0.934,0.000,0.000
174,5.800,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.862,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.033,0.967,0.000,0.000
177,5.900,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.862,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.037,0.963,0.000,0.000
180,6.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.862,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.032,0.968,0.000,0.000
183,6.100,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,1,0.828,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.049,0.951,0.000,0.750
