frame_idx,timestamp,hand_velocity_left,hand_velocity_right,hand_acceleration_left,hand_acceleration_right,hands_present,grip_state_left,grip_state_right,hand_distance,trajectory_curvature,num_tools,tool_changed,tool_stability,num_interactions,contact_point_shift,contact_point_variance,interaction_density,interaction_rhythm,flow_magnitude,flow_uniformity,flow_discontinuity,direction_change,scene_change_score,visual_stability,activity_level,transition_score
0,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,1.000,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.100,0.000
3,0.100,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,5,1,0.000,0,0.000,0.000,0.000,0.000,2.801,0.506,0.000,0.792,0.000,1.000,0.205,0.750
6,0.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,5,0,0.500,0,0.000,0.000,0.000,0.000,2.424,0.329,0.000,0.540,0.000,1.000,0.208,0.000
9,0.300,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.333,0,0.000,0.000,0.000,0.000,2.569,0.558,0.000,0.712,0.000,1.000,0.095,0.750
12,0.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.500,0,0.000,0.000,0.000,0.000,4.677,0.771,0.000,0.012,0.000,1.000,0.133,0.000
15,0.500,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.600,0,0.000,0.000,0.000,0.000,5.897,0.612,0.000,0.002,0.000,1.000,0.175,0.000
18,0.600,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.667,0,0.000,0.000,0.000,0.000,9.083,0.623,0.000,0.442,0.000,1.000,0.226,0.000
21,0.700,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.714,0,0.000,0.000,0.000,0.000,9.514,0.736,0.000,0.063,0.000,1.000,0.218,0.000
24,0.800,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.750,0,0.000,0.000,0.000,0.000,10.421,0.749,0.000,0.044,0.000,1.000,0.218,0.000
27,0.900,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.778,0,0.000,0.000,0.000,0.000,7.439,0.614,0.000,0.214,0.000,1.000,0.213,0.000
