frame_idx,timestamp,hand_velocity_left,hand_velocity_right,hand_acceleration_left,hand_acceleration_right,hands_present,grip_state_left,grip_state_right,hand_distance,trajectory_curvature,num_tools,tool_changed,tool_stability,num_interactions,contact_point_shift,contact_point_variance,interaction_density,interaction_rhythm,flow_magnitude,flow_uniformity,flow_discontinuity,direction_change,scene_change_score,visual_stability,activity_level,transition_score
0,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,1.000,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.100,0.000
3,0.100,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,1.000,0,0.000,0.000,0.000,0.000,0.301,0.765,0.000,0.867,0.080,0.920,0.124,0.000
6,0.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,1,0.500,0,0.000,0.000,0.000,0.000,0.644,0.790,0.000,0.721,0.070,0.930,0.131,0.750
9,0.300,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.667,0,0.000,0.000,0.000,0.000,0.490,0.667,0.000,0.100,0.055,0.945,0.136,0.000
12,0.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.750,0,0.000,0.000,0.000,0.000,0.437,0.867,0.000,0.066,0.069,0.931,0.120,0.000
15,0.500,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.800,0,0.000,0.000,0.000,0.000,0.432,0.904,0.000,0.892,0.058,0.942,0.118,0.000
18,0.600,0.000,0.000,0.000,0.000,1,0,0,0.000,0.000,4,0,0.833,2,0.000,0.000,0.143,0.000,0.684,0.938,0.000,0.273,0.064,0.936,0.279,0.650
21,0.700,0.000,385.686,0.000,385.686,2,0,0,386.467,0.000,4,0,0.857,4,0.000,0.000,0.250,0.333,0.488,0.852,0.000,0.385,0.045,0.955,0.683,0.650
24,0.800,6.083,3.606,6.083,-382.081,2,0,0,377.429,0.000,4,0,0.875,4,0.000,0.000,0.333,0.348,0.681,0.802,0.000,0.260,0.061,0.939,0.485,0.580
27,0.900,4.472,3.000,-1.611,-0.606,2,0,0,381.379,0.983,3,1,0.778,2,0.000,0.000,0.400,0.380,0.404,0.842,0.000,0.122,0.046,0.954,0.414,0.750
