frame_idx,timestamp,hand_velocity_left,hand_velocity_right,hand_acceleration_left,hand_acceleration_right,hands_present,grip_state_left,grip_state_right,hand_distance,trajectory_curvature,num_tools,tool_changed,tool_stability,num_interactions,contact_point_shift,contact_point_variance,interaction_density,interaction_rhythm,flow_magnitude,flow_uniformity,flow_discontinuity,direction_change,scene_change_score,visual_stability,activity_level,transition_score
0,0.000,0.000,0.000,0.000,0.000,1,0,0,0.000,0.000,4,0,1.000,3,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.405,0.000
3,0.100,0.000,9.434,0.000,9.434,1,0,0,0.000,0.000,4,0,1.000,3,0.000,0.000,1.000,0.333,0.782,0.316,0.000,1.614,0.073,0.927,0.525,0.550
6,0.200,0.000,9.220,0.000,-0.214,1,0,0,0.000,0.000,5,1,0.500,4,14.318,21.778,1.000,0.348,1.241,0.585,0.000,2.019,0.101,0.899,0.525,0.750
9,0.300,0.000,9.434,0.000,0.214,2,0,0,307.002,0.304,5,1,0.333,6,70.007,1576.918,1.000,0.333,1.792,0.524,0.000,2.092,0.116,0.884,0.631,0.750
12,0.400,70.605,3.162,70.605,-6.272,2,0,0,378.001,0.270,5,0,0.500,6,0.000,1938.339,1.000,0.327,4.256,0.792,0.000,0.464,0.163,0.837,0.871,0.450
15,0.500,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,5,0,0.600,0,0.000,1938.339,0.833,0.327,12.852,0.316,0.000,0.474,0.300,0.700,0.448,0.650
18,0.600,220.912,235.213,150.307,232.050,2,0,0,314.197,0.891,6,1,0.500,6,0.000,4284.431,0.857,0.309,7.902,0.947,0.000,2.147,0.146,0.854,0.934,0.750
21,0.700,19.105,19.026,-201.807,-216.186,2,0,1,305.262,2.920,6,0,0.571,6,117.644,4570.415,0.875,0.308,7.275,0.951,0.000,0.023,0.142,0.858,0.856,0.654
24,0.800,4.000,18.000,-15.105,-1.026,2,0,1,292.139,1.834,6,0,0.625,6,0.000,4516.054,0.889,0.307,6.343,0.935,0.000,0.022,0.139,0.861,0.830,0.350
27,0.900,5.000,9.055,1.000,-8.945,2,0,1,286.049,1.437,6,0,0.667,6,119.365,4019.929,0.900,0.307,5.059,0.908,0.000,0.104,0.136,0.864,0.751,0.663
30,1.000,5.000,3.000,0.000,-6.055,2,1,1,286.514,1.149,6,0,0.700,6,108.005,2432.254,0.909,0.306,4.397,0.854,0.000,0.059,0.131,0.869,0.717,0.600
33,1.100,7.280,10.050,2.280,7.050,2,1,1,302.338,1.049,6,0,0.727,6,110.535,1114.378,0.917,0.306,3.489,0.780,0.000,0.215,0.123,0.877,0.728,0.614
36,1.200,4.000,7.810,-3.280,-2.240,2,1,1,313.390,1.058,6,0,0.750,6,120.934,1099.869,0.923,0.302,2.629,0.716,0.000,2.263,0.112,0.888,0.700,0.672
39,1.300,2.236,9.220,-1.764,1.409,2,1,1,323.514,1.030,6,0,0.769,6,127.350,1289.500,0.929,0.289,1.898,0.588,0.000,0.175,0.105,0.895,0.699,0.707
42,1.400,2.000,4.123,-0.236,-5.096,2,1,1,325.088,1.018,6,0,0.786,6,128.316,1350.944,0.933,0.289,1.648,0.495,0.000,0.257,0.099,0.901,0.671,0.713
45,1.500,2.000,12.042,0.000,7.918,2,1,1,323.080,0.799,6,0,0.800,6,118.461,1421.604,0.938,0.298,2.693,0.796,0.000,0.749,0.124,0.876,0.721,0.658
48,1.600,17.088,18.439,15.088,6.397,2,1,1,323.371,0.874,6,0,0.812,6,0.000,1222.135,0.941,0.298,4.307,0.742,0.000,0.542,0.138,0.862,0.801,0.550
51,1.700,0.000,59.000,0.000,40.561,1,0,1,0.000,0.949,6,0,0.824,5,0.000,1363.007,0.944,0.311,6.333,0.537,0.000,0.142,0.158,0.842,0.934,0.650
54,1.800,224.056,111.072,206.968,52.072,2,1,1,342.210,0.879,4,1,0.778,5,0.000,1597.594,0.947,0.311,9.077,0.683,0.000,0.078,0.209,0.791,1.000,0.750
57,1.900,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.789,0,0.000,1597.594,0.900,0.311,12.584,0.715,0.000,0.037,0.190,0.810,0.428,0.650
60,2.000,225.801,220.989,1.745,109.917,2,1,1,249.419,0.943,4,0,0.800,5,0.000,3203.574,0.905,0.302,15.003,0.816,0.000,0.008,0.188,0.812,1.000,0.650
63,2.100,19.235,28.443,-206.565,-192.546,2,1,1,229.340,1.036,3,1,0.762,4,0.000,3203.574,0.909,0.302,14.598,0.815,0.000,0.062,0.183,0.817,0.840,0.750
66,2.200,30.000,15.264,10.765,-13.179,2,1,1,210.618,1.062,3,0,0.773,4,18.358,3808.509,0.913,0.315,12.800,0.959,0.000,0.026,0.174,0.826,0.839,0.350
69,2.300,17.117,16.763,-12.883,1.499,2,1,1,206.306,0.938,3,0,0.783,4,0.000,4573.737,0.917,0.315,6.895,0.892,0.000,0.049,0.167,0.833,0.745,0.350
72,2.400,6.000,7.616,-11.117,-9.147,2,1,1,205.767,0.815,4,1,0.750,4,0.000,4735.488,0.920,0.315,3.937,0.839,0.000,0.478,0.157,0.843,0.722,0.750
75,2.500,12.042,12.083,6.042,4.467,2,1,1,210.640,0.825,4,0,0.760,4,0.000,4441.794,0.923,0.327,2.968,0.446,0.000,1.396,0.151,0.849,0.751,0.580
78,2.600,36.014,43.738,23.972,31.655,2,1,1,221.840,0.680,4,0,0.769,4,0.000,3599.184,0.926,0.327,5.899,0.575,0.000,0.393,0.185,0.815,0.991,0.450
81,2.700,0.000,182.584,0.000,138.846,1,0,1,0.000,0.851,4,0,0.778,2,0.000,3055.169,0.929,0.339,6.891,0.636,0.000,0.409,0.201,0.799,0.879,0.650
84,2.800,0.000,556.008,0.000,373.424,1,0,1,0.000,1.178,4,0,0.786,3,313.766,4323.224,0.931,0.339,9.721,0.733,0.000,0.332,0.221,0.779,0.945,0.750
