frame_idx,timestamp,hand_velocity_left,hand_velocity_right,hand_acceleration_left,hand_acceleration_right,hands_present,grip_state_left,grip_state_right,hand_distance,trajectory_curvature,num_tools,tool_changed,tool_stability,num_interactions,contact_point_shift,contact_point_variance,interaction_density,interaction_rhythm,flow_magnitude,flow_uniformity,flow_discontinuity,direction_change,scene_change_score,visual_stability,activity_level,transition_score
0,0.000,0.000,0.000,0.000,0.000,1,0,0,0.000,0.000,3,0,1.000,2,50.220,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.390,0.000
3,0.100,12.649,0.000,12.649,0.000,1,0,0,0.000,0.000,4,1,0.000,3,83.000,1928.280,1.000,0.366,4.010,0.397,0.000,1.074,0.091,0.909,0.618,0.750
6,0.200,12.649,0.000,0.000,0.000,1,0,0,0.000,0.000,4,0,0.500,2,98.270,2495.236,1.000,0.414,2.009,0.277,0.000,0.446,0.068,0.932,0.531,0.546
9,0.300,16.643,0.000,3.994,0.000,1,0,0,0.000,2.892,4,0,0.667,2,95.425,2171.148,1.000,0.436,4.111,0.369,0.000,0.043,0.081,0.919,0.599,0.530
12,0.400,8.544,0.000,-8.099,0.000,1,0,0,0.000,1.911,4,0,0.750,3,87.801,1872.107,1.000,0.431,4.068,0.551,0.000,0.113,0.085,0.915,0.586,0.350
15,0.500,400.092,0.000,363.418,0.000,2,1,0,400.092,1.783,4,0,0.800,6,224.147,2433.662,1.000,0.392,4.259,0.366,0.000,2.298,0.111,0.889,0.981,0.750
18,0.600,401.261,0.000,1.168,0.000,2,1,0,401.508,2.052,3,1,0.667,4,225.801,3076.656,1.000,0.387,2.906,0.509,0.000,1.537,0.105,0.895,0.837,0.750
21,0.700,2.236,5.385,-399.024,5.385,2,1,0,398.503,2.123,3,0,0.714,4,185.389,3332.044,1.000,0.384,1.295,0.498,0.000,0.111,0.081,0.919,0.577,0.750
24,0.800,12.042,10.000,9.806,4.615,2,1,0,417.433,2.214,3,0,0.750,4,148.122,3441.318,1.000,0.382,2.583,0.252,0.000,0.865,0.088,0.912,0.664,0.750
27,0.900,20.224,1.414,8.182,-8.586,2,1,0,438.809,1.966,4,1,0.667,6,38.079,3381.744,1.000,0.370,1.498,0.475,0.000,1.656,0.091,0.909,0.767,0.750
30,1.000,13.342,6.325,-6.882,4.910,2,1,0,449.138,1.614,4,0,0.700,6,194.795,3819.158,1.000,0.362,1.583,0.516,0.000,0.878,0.092,0.908,0.728,0.750
33,1.100,6.083,10.000,-7.259,3.675,2,1,0,446.061,1.547,4,0,0.727,6,204.167,3618.220,1.000,0.356,1.735,0.581,0.000,0.407,0.083,0.917,0.708,0.750
36,1.200,406.149,0.000,389.506,0.000,2,1,0,406.149,1.502,4,0,0.750,5,121.248,2801.818,1.000,0.354,3.685,0.456,0.000,0.315,0.122,0.878,0.960,0.674
39,1.300,418.871,113.159,12.722,103.159,2,1,1,418.638,1.499,4,0,0.769,5,0.000,3176.744,1.000,0.352,2.699,0.150,0.000,3.108,0.100,0.900,0.957,0.550
42,1.400,23.409,0.000,-395.462,0.000,1,1,0,0.000,1.547,4,0,0.786,3,165.463,3888.664,1.000,0.358,2.232,0.520,0.000,0.330,0.086,0.914,0.704,0.750
45,1.500,12.083,0.000,-11.326,0.000,1,1,0,0.000,1.301,3,1,0.733,2,169.806,3753.569,1.000,0.358,2.942,0.743,0.000,0.387,0.098,0.902,0.529,0.750
48,1.600,5.000,0.000,-7.083,0.000,1,1,0,0.000,1.495,3,0,0.750,2,155.081,3905.784,1.000,0.358,3.551,0.173,0.000,0.471,0.106,0.894,0.544,0.750
51,1.700,4.123,0.000,-0.877,0.000,1,1,0,0.000,1.536,3,0,0.765,2,144.062,3578.378,1.000,0.358,3.478,0.250,0.000,0.643,0.106,0.894,0.532,0.750
54,1.800,26.306,0.000,22.183,0.000,1,1,0,0.000,1.868,4,1,0.722,3,127.581,3634.400,1.000,0.358,4.434,0.787,0.000,0.153,0.120,0.880,0.757,0.750
57,1.900,33.302,0.000,6.996,0.000,1,1,0,0.000,1.676,4,0,0.737,3,140.730,3177.439,1.000,0.358,3.427,0.656,0.000,0.322,0.126,0.874,0.780,0.750
60,2.000,17.889,0.000,-15.413,0.000,1,1,0,0.000,1.641,4,0,0.750,3,95.273,2942.294,1.000,0.369,3.037,0.638,0.000,0.095,0.106,0.894,0.686,0.580
63,2.100,25.495,0.000,7.607,0.000,1,1,0,0.000,1.451,3,1,0.714,2,117.324,2797.680,1.000,0.369,2.856,0.545,0.000,1.498,0.114,0.886,0.615,0.750
66,2.200,11.045,0.000,-14.450,0.000,1,1,0,0.000,1.138,3,0,0.727,2,119.080,2356.600,1.000,0.379,2.390,0.428,0.000,2.713,0.120,0.880,0.531,0.662
69,2.300,15.264,0.000,4.219,0.000,1,1,0,0.000,1.155,3,0,0.739,2,117.154,2267.945,1.000,0.379,3.664,0.592,0.000,1.581,0.123,0.877,0.575,0.651
72,2.400,48.083,0.000,32.819,0.000,1,1,0,0.000,1.096,3,0,0.750,2,0.000,1877.877,1.000,0.389,3.618,0.533,0.000,1.722,0.134,0.866,0.743,0.550
75,2.500,18.028,0.000,-30.056,0.000,1,1,0,0.000,1.163,3,0,0.760,2,0.000,1557.220,1.000,0.389,2.633,0.563,0.000,1.324,0.142,0.858,0.567,0.580
78,2.600,17.720,0.000,-0.308,0.000,1,1,0,0.000,0.789,3,0,0.769,2,0.000,1396.880,1.000,0.399,6.029,0.308,0.000,1.549,0.167,0.833,0.668,0.580
81,2.700,37.577,0.000,19.857,0.000,1,1,0,0.000,0.856,4,1,0.741,2,0.000,1830.804,1.000,0.399,6.878,0.658,0.000,2.360,0.187,0.813,0.845,0.750
84,2.800,27.203,0.000,-10.374,0.000,1,1,0,0.000,0.842,4,0,0.750,2,139.807,2137.625,1.000,0.408,7.298,0.577,0.000,0.469,0.191,0.809,0.803,0.750
87,2.900,41.037,0.000,13.834,0.000,1,1,0,0.000,0.708,4,0,0.759,2,0.000,2088.359,1.000,0.417,7.826,0.629,0.000,2.240,0.204,0.796,0.890,0.550
90,3.000,39.051,0.000,-1.985,0.000,1,1,0,0.000,0.751,4,0,0.793,2,69.642,2181.905,1.000,0.417,8.144,0.619,0.000,0.109,0.217,0.783,0.884,0.000
93,3.100,34.986,0.000,-4.066,0.000,1,1,0,0.000,0.893,4,0,0.793,2,76.485,2225.148,1.000,0.426,8.723,0.885,1.824,0.031,0.222,0.778,0.842,0.700
96,3.200,83.869,0.000,48.883,0.000,1,1,0,0.000,1.103,4,0,0.793,2,0.000,2033.684,1.000,0.435,8.146,0.862,2.267,0.074,0.219,0.781,0.900,0.700
99,3.300,1.000,0.000,-82.869,0.000,1,1,0,0.000,1.268,5,1,0.759,2,0.000,1764.444,1.000,0.435,7.105,0.709,2.497,0.344,0.213,0.787,0.626,0.750
102,3.400,233.654,282.446,232.654,169.287,2,1,1,208.837,1.620,5,0,0.759,4,0.000,1574.260,1.000,0.444,7.059,0.747,2.576,0.015,0.213,0.787,0.988,0.700
105,3.500,212.925,0.000,-16.339,0.000,2,1,0,212.925,2.208,5,0,0.793,4,0.000,1456.685,1.000,0.444,7.416,0.756,2.976,0.002,0.215,0.785,0.997,0.700
108,3.600,0.000,209.504,0.000,187.572,2,0,1,209.504,1.291,4,1,0.759,4,0.000,1394.765,1.000,0.444,7.518,0.803,3.651,0.022,0.217,0.783,1.000,0.750
111,3.700,26.420,207.461,-186.505,-2.043,2,1,1,207.617,2.367,4,0,0.759,4,67.357,1307.669,1.000,0.444,6.389,0.786,4.007,0.029,0.212,0.788,1.000,0.700
114,3.800,0.000,8.944,0.000,-198.517,1,0,1,0.000,1.517,4,0,0.793,2,0.000,664.629,1.000,0.453,5.190,0.645,4.643,0.223,0.217,0.783,0.644,0.700
117,3.900,0.000,191.760,0.000,189.760,2,0,1,191.760,1.507,4,0,0.793,4,0.000,403.319,1.000,0.444,4.136,0.625,4.542,0.069,0.202,0.798,0.960,0.700
120,4.000,0.000,201.943,0.000,0.426,2,0,1,201.943,1.992,4,0,0.793,4,0.000,414.299,1.000,0.435,3.737,0.661,4.816,0.014,0.203,0.797,0.947,0.700
123,4.100,0.000,196.919,0.000,-5.282,2,0,1,196.919,2.364,4,0,0.793,4,0.000,295.919,1.000,0.435,2.230,0.284,5.487,0.311,0.170,0.830,0.936,0.700
126,4.200,234.787,1.000,208.367,-195.919,2,1,1,205.643,2.469,4,0,0.793,4,34.059,328.734,1.000,0.426,1.920,0.302,3.468,2.209,0.157,0.843,0.927,0.700
129,4.300,206.073,0.000,202.073,0.000,2,1,0,206.073,2.214,4,0,0.793,4,130.782,718.210,1.000,0.417,1.809,0.730,2.063,2.408,0.157,0.843,0.894,0.727
132,4.400,219.718,0.000,8.351,0.000,2,1,0,219.718,2.356,4,0,0.828,4,118.068,927.885,1.000,0.408,2.475,0.685,1.255,0.432,0.163,0.837,0.914,0.656
135,4.500,228.862,0.000,3.658,0.000,2,1,0,228.862,2.347,4,0,0.828,4,107.615,1090.150,1.000,0.399,2.710,0.778,0.684,0.482,0.172,0.828,0.913,0.598
138,4.600,240.204,0.000,8.521,0.000,2,1,0,240.204,2.710,4,0,0.828,4,112.201,1194.409,1.000,0.389,2.277,0.788,0.249,0.728,0.159,0.841,0.902,0.623
141,4.700,0.000,225.610,0.000,224.610,1,0,1,0.000,2.337,4,0,0.862,2,89.677,1319.069,1.000,0.389,1.470,0.797,0.132,0.560,0.129,0.871,0.741,0.650
144,4.800,247.245,0.000,7.041,0.000,1,1,0,0.000,3.038,4,0,0.862,2,83.000,1431.437,1.000,0.389,1.505,0.783,0.459,0.578,0.125,0.875,0.743,0.500
147,4.900,6.708,0.000,-240.537,0.000,1,1,0,0.000,2.888,4,0,0.862,2,78.102,1504.257,1.000,0.389,1.167,0.809,0.691,0.007,0.113,0.887,0.520,0.580
150,5.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.897,0,78.102,1504.257,0.967,0.389,1.430,0.845,0.981,0.003,0.123,0.877,0.263,0.650
153,5.100,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.897,0,78.102,1504.257,0.933,0.389,1.905,0.703,1.332,1.268,0.114,0.886,0.280,0.580
156,5.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.897,0,78.102,1504.257,0.900,0.389,1.397,0.426,1.756,1.746,0.100,0.900,0.283,0.700
159,5.300,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.897,0,78.102,1504.257,0.867,0.389,0.763,0.480,2.378,0.008,0.073,0.927,0.259,0.700
162,5.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.897,0,78.102,1504.257,0.833,0.389,1.208,0.781,2.810,0.579,0.127,0.873,0.246,0.700
165,5.500,0.000,240.104,0.000,14.494,1,0,1,0.000,2.550,4,0,0.897,2,154.185,1740.088,0.833,0.302,1.282,0.869,3.063,0.224,0.154,0.846,0.711,0.750
168,5.600,253.190,0.000,246.481,0.000,1,1,0,0.000,2.690,4,0,0.931,2,100.578,2675.017,0.833,0.302,1.261,0.862,3.615,0.124,0.160,0.840,0.711,0.700
171,5.700,23.345,0.000,-229.844,0.000,1,1,0,0.000,2.652,4,0,0.931,2,100.578,2675.017,0.833,0.311,1.329,0.834,2.711,0.092,0.158,0.842,0.595,0.700
