frame_idx,timestamp,hand_velocity_left,hand_velocity_right,hand_acceleration_left,hand_acceleration_right,hands_present,grip_state_left,grip_state_right,hand_distance,trajectory_curvature,num_tools,tool_changed,tool_stability,num_interactions,contact_point_shift,contact_point_variance,interaction_density,interaction_rhythm,flow_magnitude,flow_uniformity,flow_discontinuity,direction_change,scene_change_score,visual_stability,activity_level,transition_score
0,0.000,0.000,0.000,0.000,0.000,1,0,0,0.000,0.000,3,0,1.000,1,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.330,0.000
3,0.100,0.000,13.601,0.000,13.601,1,0,0,0.000,0.000,4,1,0.000,3,101.203,1024.889,1.000,0.414,3.118,0.800,0.000,2.751,0.248,0.752,0.572,0.750
6,0.200,0.000,19.925,0.000,6.323,1,0,0,0.000,0.000,4,0,0.500,3,136.132,1588.920,1.000,0.414,3.493,0.851,0.000,0.103,0.252,0.748,0.613,0.750
9,0.300,0.000,0.000,0.000,0.000,1,0,0,0.000,0.000,4,0,0.667,2,79.322,1514.898,1.000,0.436,3.352,0.851,0.000,0.064,0.243,0.757,0.454,0.580
12,0.400,0.000,27.313,0.000,7.388,1,0,0,0.000,0.850,4,0,0.750,1,9.434,1358.594,1.000,0.472,1.572,0.870,0.000,0.374,0.228,0.772,0.515,0.000
15,0.500,0.000,6.708,0.000,-20.605,1,0,0,0.000,0.864,4,0,0.800,2,110.059,1587.885,1.000,0.477,1.877,0.754,0.000,0.119,0.211,0.789,0.461,0.611
18,0.600,19.105,0.000,19.105,0.000,1,0,0,0.000,0.000,3,1,0.667,2,127.456,1692.410,1.000,0.481,2.729,0.852,0.000,0.826,0.252,0.748,0.475,0.750
21,0.700,5.831,0.000,-13.274,0.000,1,0,0,0.000,0.000,3,0,0.714,2,0.000,1825.923,1.000,0.483,1.564,0.762,0.000,2.627,0.201,0.799,0.378,0.550
24,0.800,8.485,0.000,2.654,0.000,1,0,0,0.000,0.245,3,0,0.750,2,0.000,1687.246,1.000,0.485,1.701,0.807,0.000,1.658,0.219,0.781,0.393,0.550
27,0.900,0.000,28.636,0.000,21.927,1,0,0,0.000,0.660,4,1,0.667,2,0.000,1518.003,1.000,0.487,2.959,0.894,0.000,0.267,0.233,0.767,0.600,0.750
30,1.000,61.522,0.000,53.037,0.000,1,0,0,0.000,0.450,4,0,0.700,2,0.000,1370.827,1.000,0.488,4.166,0.851,0.000,0.069,0.243,0.757,0.725,0.450
33,1.100,14.422,0.000,-47.100,0.000,1,0,0,0.000,0.584,4,0,0.727,2,0.000,1297.467,1.000,0.489,3.004,0.767,0.000,1.166,0.256,0.744,0.532,0.450
36,1.200,11.402,0.000,-3.020,0.000,1,1,0,0.000,0.849,4,1,0.667,3,0.000,1038.020,1.000,0.481,2.666,0.464,0.000,1.263,0.250,0.750,0.652,0.750
39,1.300,5.000,0.000,-6.402,0.000,1,1,0,0.000,0.732,4,0,0.692,3,0.000,770.158,1.000,0.474,3.276,0.767,0.000,1.171,0.255,0.745,0.611,0.580
42,1.400,2.236,0.000,-2.764,0.000,1,1,0,0.000,0.688,4,0,0.714,3,0.000,484.250,1.000,0.469,3.881,0.844,0.000,0.205,0.284,0.716,0.605,0.580
45,1.500,7.280,0.000,5.044,0.000,1,1,0,0.000,0.708,4,1,0.667,3,0.000,331.117,1.000,0.464,5.537,0.726,0.000,0.163,0.270,0.730,0.683,0.750
48,1.600,5.000,0.000,-2.280,0.000,1,1,0,0.000,0.735,4,0,0.688,2,2.236,232.559,1.000,0.466,3.559,0.819,0.000,0.098,0.256,0.744,0.569,0.000
51,1.700,8.485,0.000,3.485,0.000,1,1,0,0.000,0.918,4,0,0.706,1,13.038,202.369,1.000,0.474,2.559,0.840,0.000,0.011,0.247,0.753,0.517,0.350
54,1.800,3.606,0.000,-4.880,0.000,1,1,0,0.000,0.861,5,1,0.667,3,0.000,155.609,1.000,0.469,1.402,0.807,0.000,0.019,0.193,0.807,0.527,0.750
57,1.900,1.414,0.000,-2.191,0.000,1,1,0,0.000,0.779,5,0,0.684,2,0.000,139.525,1.000,0.471,1.646,0.765,0.000,0.866,0.137,0.863,0.487,0.580
60,2.000,4.123,0.000,2.709,0.000,1,1,0,0.000,0.899,5,0,0.700,3,6.403,108.194,1.000,0.467,1.825,0.543,0.000,0.245,0.155,0.845,0.559,0.580
63,2.100,17.804,0.000,13.681,0.000,1,1,0,0.000,0.979,5,0,0.714,4,0.000,70.339,1.000,0.460,2.751,0.468,0.000,0.770,0.128,0.872,0.699,0.350
66,2.200,0.000,18.439,0.000,-10.197,1,0,1,0.000,0.620,5,0,0.727,4,47.127,172.884,1.000,0.453,2.339,0.438,0.000,0.785,0.159,0.841,0.694,0.500
69,2.300,22.000,0.000,4.196,0.000,1,1,0,0.000,1.034,5,0,0.739,3,75.425,282.239,1.000,0.451,2.871,0.773,0.000,0.502,0.211,0.789,0.668,0.500
72,2.400,9.487,0.000,-12.513,0.000,1,1,0,0.000,1.087,4,1,0.708,2,67.676,444.449,1.000,0.453,2.622,0.851,0.000,1.506,0.228,0.772,0.569,0.750
75,2.500,3.606,0.000,-5.881,0.000,1,1,0,0.000,1.085,4,0,0.720,2,43.829,549.389,1.000,0.453,0.902,0.530,0.000,0.853,0.100,0.900,0.515,0.580
78,2.600,23.324,0.000,19.718,0.000,1,1,0,0.000,0.927,4,0,0.731,2,0.000,564.779,1.000,0.453,1.183,0.460,0.000,0.360,0.109,0.891,0.637,0.350
81,2.700,33.015,0.000,9.691,0.000,1,1,0,0.000,0.954,4,0,0.741,2,0.000,625.184,1.000,0.462,2.127,0.506,0.000,0.035,0.123,0.877,0.711,0.350
84,2.800,19.105,0.000,-13.910,0.000,1,1,0,0.000,1.019,4,0,0.750,2,132.699,1272.165,1.000,0.462,2.531,0.695,0.000,0.036,0.138,0.862,0.631,0.737
87,2.900,12.083,0.000,-7.022,0.000,1,1,0,0.000,0.760,4,0,0.759,2,145.165,1898.299,1.000,0.453,0.875,0.552,0.000,0.205,0.103,0.897,0.560,0.750
90,3.000,13.038,0.000,0.955,0.000,1,1,0,0.000,0.719,4,0,0.793,3,81.786,2129.828,1.000,0.453,1.390,0.321,0.000,0.142,0.110,0.890,0.640,0.000
93,3.100,8.246,0.000,-4.792,0.000,1,1,0,0.000,0.707,4,0,0.793,3,169.800,2490.430,1.000,0.444,0.872,0.511,0.916,0.569,0.105,0.895,0.587,0.750
96,3.200,9.434,0.000,1.188,0.000,1,1,0,0.000,0.708,3,1,0.759,2,5.831,2459.684,1.000,0.444,0.867,0.340,1.107,0.072,0.100,0.900,0.590,0.750
99,3.300,2.000,0.000,-7.434,0.000,1,1,0,0.000,0.917,3,1,0.724,1,6.083,2274.067,1.000,0.453,0.852,0.663,1.157,0.798,0.106,0.894,0.366,0.750
102,3.400,13.000,0.000,11.000,0.000,1,1,0,0.000,1.108,3,0,0.724,2,185.162,2697.968,1.000,0.453,0.469,0.600,1.008,0.445,0.062,0.938,0.482,0.750
105,3.500,8.062,0.000,-4.938,0.000,1,1,0,0.000,1.218,3,0,0.759,2,179.627,3081.575,1.000,0.453,0.711,0.411,1.089,0.130,0.073,0.927,0.474,0.750
108,3.600,19.416,0.000,11.354,0.000,1,1,0,0.000,1.219,4,1,0.724,3,0.000,2782.344,1.000,0.453,1.449,0.144,1.150,1.715,0.135,0.865,0.689,0.750
111,3.700,19.209,0.000,-0.207,0.000,1,1,0,0.000,1.312,4,0,0.724,3,0.000,2660.149,1.000,0.453,2.588,0.482,1.229,1.844,0.131,0.869,0.693,0.550
