frame_idx,timestamp,hand_velocity_left,hand_velocity_right,hand_acceleration_left,hand_acceleration_right,hands_present,grip_state_left,grip_state_right,hand_distance,trajectory_curvature,num_tools,tool_changed,tool_stability,num_interactions,contact_point_shift,contact_point_variance,interaction_density,interaction_rhythm,flow_magnitude,flow_uniformity,flow_discontinuity,direction_change,scene_change_score,visual_stability,activity_level,transition_score
0,0.000,0.000,0.000,0.000,0.000,1,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.050,0.000
3,0.100,0.000,11.402,0.000,11.402,1,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,1.889,0.584,0.000,0.619,0.108,0.892,0.190,0.000
6,0.200,0.000,20.224,0.000,8.822,1,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,3.238,0.696,0.000,0.538,0.100,0.900,0.265,0.000
9,0.300,0.000,2.236,0.000,-17.988,1,0,0,0.000,1.886,0,0,1.000,0,0.000,0.000,0.000,0.000,1.811,0.176,0.000,1.632,0.093,0.907,0.165,0.580
12,0.400,0.000,11.402,0.000,9.166,1,0,0,0.000,1.629,0,0,1.000,0,0.000,0.000,0.000,0.000,2.174,0.769,0.000,1.414,0.087,0.913,0.184,0.550
15,0.500,0.000,27.893,0.000,16.491,1,0,0,0.000,1.091,0,0,1.000,0,0.000,0.000,0.000,0.000,4.015,0.222,0.000,0.531,0.100,0.900,0.360,0.550
18,0.600,0.000,11.705,0.000,-16.188,1,0,1,0.000,1.453,0,0,1.000,0,0.000,0.000,0.000,0.000,2.195,0.675,0.000,0.193,0.082,0.918,0.273,0.550
21,0.700,0.000,20.000,0.000,8.295,1,0,1,0.000,1.592,0,0,1.000,0,0.000,0.000,0.000,0.000,2.266,0.864,0.000,0.318,0.096,0.904,0.307,0.550
24,0.800,0.000,0.000,0.000,0.000,1,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.735,0.261,0.000,2.950,0.076,0.924,0.120,0.580
27,0.900,0.000,17.692,0.000,-2.308,1,0,1,0.000,1.820,0,0,1.000,0,0.000,0.000,0.000,0.000,0.976,0.695,0.000,0.003,0.065,0.935,0.274,0.500
30,1.000,12.083,0.000,12.083,0.000,1,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.774,0.366,0.000,2.930,0.075,0.925,0.181,0.550
33,1.100,0.000,11.402,0.000,-6.290,1,0,1,0.000,1.796,0,0,1.000,0,0.000,0.000,0.000,0.000,0.782,0.331,0.000,1.982,0.072,0.928,0.260,0.550
36,1.200,99.730,57.689,87.647,46.287,2,0,1,42.107,1.612,0,0,1.000,0,0.000,0.000,0.000,0.000,5.064,0.409,0.000,0.117,0.200,0.800,0.598,0.650
39,1.300,41.000,0.000,-58.730,0.000,1,0,0,0.000,2.452,0,0,1.000,0,0.000,0.000,0.000,0.000,4.145,0.464,0.000,1.663,0.121,0.879,0.419,0.650
42,1.400,14.866,0.000,-26.134,0.000,1,0,0,0.000,1.753,0,0,1.000,0,0.000,0.000,0.000,0.000,3.453,0.616,0.000,0.095,0.098,0.902,0.246,0.550
45,1.500,30.806,0.000,15.940,0.000,1,0,0,0.000,1.862,0,0,1.000,0,0.000,0.000,0.000,0.000,3.624,0.593,0.000,0.089,0.096,0.904,0.340,0.550
48,1.600,13.601,0.000,-17.204,0.000,1,1,0,0.000,1.967,0,0,1.000,0,0.000,0.000,0.000,0.000,2.167,0.718,0.000,0.355,0.105,0.895,0.279,0.550
51,1.700,3.000,0.000,-10.601,0.000,1,1,0,0.000,1.700,0,0,1.000,0,0.000,0.000,0.000,0.000,1.255,0.568,0.000,0.671,0.091,0.909,0.208,0.580
54,1.800,8.246,0.000,5.246,0.000,1,1,0,0.000,1.457,0,0,1.000,0,0.000,0.000,0.000,0.000,1.953,0.109,0.000,1.457,0.071,0.929,0.287,0.550
57,1.900,0.000,56.436,0.000,-1.253,1,0,1,0.000,1.385,0,0,1.000,0,0.000,0.000,0.000,0.000,5.252,0.132,0.000,0.832,0.150,0.850,0.572,0.500
60,2.000,0.000,93.048,0.000,36.613,1,0,1,0.000,1.282,0,0,1.000,0,0.000,0.000,0.000,0.000,0.708,0.245,0.000,1.365,0.056,0.944,0.451,0.550
63,2.100,0.000,19.105,0.000,-73.943,1,0,1,0.000,1.370,0,0,1.000,0,0.000,0.000,0.000,0.000,0.936,0.367,0.000,0.418,0.070,0.930,0.304,0.450
66,2.200,0.000,1.000,0.000,-18.105,1,0,1,0.000,1.352,0,0,1.000,0,0.000,0.000,0.000,0.000,0.837,0.677,0.000,0.643,0.058,0.942,0.179,0.580
69,2.300,0.000,3.162,0.000,2.162,1,0,1,0.000,1.320,0,0,1.000,0,0.000,0.000,0.000,0.000,0.454,0.815,0.000,1.618,0.044,0.956,0.172,0.580
72,2.400,0.000,3.162,0.000,0.000,1,0,1,0.000,1.262,0,0,1.000,0,0.000,0.000,0.000,0.000,0.368,0.608,0.000,0.282,0.048,0.952,0.184,0.580
75,2.500,0.000,3.162,0.000,0.000,1,0,1,0.000,1.448,0,0,1.000,0,0.000,0.000,0.000,0.000,1.150,0.272,0.000,2.263,0.067,0.933,0.227,0.580
78,2.600,0.000,5.000,0.000,1.838,1,0,1,0.000,1.760,0,0,1.000,0,0.000,0.000,0.000,0.000,0.947,0.636,0.000,0.128,0.067,0.933,0.207,0.580
81,2.700,0.000,3.606,0.000,-1.394,1,0,1,0.000,1.874,0,0,1.000,0,0.000,0.000,0.000,0.000,0.785,0.323,0.000,1.182,0.072,0.928,0.217,0.580
84,2.800,0.000,3.606,0.000,0.000,1,0,1,0.000,2.198,0,0,1.000,0,0.000,0.000,0.000,0.000,0.401,0.329,0.000,0.318,0.045,0.955,0.207,0.580
87,2.900,0.000,2.000,0.000,-1.606,1,0,1,0.000,2.379,0,0,1.000,0,0.000,0.000,0.000,0.000,0.304,0.484,0.000,1.682,0.055,0.945,0.185,0.580
90,3.000,0.000,3.000,0.000,1.000,1,0,1,0.000,2.276,0,0,1.000,0,0.000,0.000,0.000,0.000,0.544,0.934,0.000,0.137,0.057,0.943,0.165,0.580
93,3.100,0.000,7.071,0.000,4.071,1,0,1,0.000,2.137,0,0,1.000,0,0.000,0.000,0.000,0.000,0.897,0.245,0.953,0.052,0.066,0.934,0.245,0.480
96,3.200,0.000,6.403,0.000,-0.668,1,0,1,0.000,1.839,0,0,1.000,0,0.000,0.000,0.000,0.000,1.762,0.380,1.035,0.107,0.082,0.918,0.253,0.580
99,3.300,0.000,6.403,0.000,0.000,1,0,1,0.000,1.474,0,0,1.000,0,0.000,0.000,0.000,0.000,1.241,0.396,0.898,0.111,0.083,0.917,0.239,0.350
102,3.400,0.000,4.472,0.000,-1.931,1,0,1,0.000,1.264,0,0,1.000,0,0.000,0.000,0.000,0.000,1.384,0.434,0.942,0.209,0.084,0.916,0.229,0.580
105,3.500,0.000,4.123,0.000,-0.349,1,0,1,0.000,1.229,0,0,1.000,0,0.000,0.000,0.000,0.000,1.538,0.469,1.137,2.563,0.088,0.912,0.229,0.580
108,3.600,0.000,13.454,0.000,9.331,1,0,1,0.000,1.094,0,0,1.000,0,0.000,0.000,0.000,0.000,0.732,0.321,0.946,1.518,0.055,0.945,0.271,0.550
111,3.700,0.000,312.247,0.000,298.793,1,0,1,0.000,1.047,0,0,1.000,0,0.000,0.000,0.000,0.000,7.412,0.420,0.877,0.700,0.255,0.745,0.606,0.550
114,3.800,245.491,5.385,237.245,-306.862,2,1,1,219.914,1.480,0,0,1.000,0,0.000,0.000,0.000,0.000,0.493,0.459,0.525,1.324,0.072,0.928,0.480,0.650
117,3.900,20.616,2.000,-224.876,-3.385,2,1,1,242.002,1.417,0,0,1.000,0,0.000,0.000,0.000,0.000,0.717,0.181,0.506,0.424,0.050,0.950,0.370,0.450
120,4.000,17.889,12.369,-2.727,10.369,2,1,1,271.768,1.138,0,0,1.000,0,0.000,0.000,0.000,0.000,2.207,0.163,0.457,0.190,0.099,0.901,0.393,0.350
123,4.100,6.325,10.000,-11.564,-2.369,2,1,1,269.715,1.381,0,0,1.000,0,0.000,0.000,0.000,0.000,1.165,0.540,0.435,0.288,0.078,0.922,0.297,0.580
126,4.200,12.042,16.763,5.717,6.763,2,1,1,288.028,1.368,0,0,1.000,0,0.000,0.000,0.000,0.000,2.523,0.331,0.435,0.753,0.077,0.923,0.383,0.350
