frame_idx,timestamp,hand_velocity_left,hand_velocity_right,hand_acceleration_left,hand_acceleration_right,hands_present,grip_state_left,grip_state_right,hand_distance,trajectory_curvature,num_tools,tool_changed,tool_stability,num_interactions,contact_point_shift,contact_point_variance,interaction_density,interaction_rhythm,flow_magnitude,flow_uniformity,flow_discontinuity,direction_change,scene_change_score,visual_stability,activity_level,transition_score
0,0.000,0.000,0.000,0.000,0.000,1,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.050,0.000
2,0.067,12.649,0.000,12.649,0.000,1,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.548,0.438,0.000,2.400,0.034,0.966,0.173,0.550
4,0.133,10.770,0.000,-1.879,0.000,1,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.471,0.371,0.000,0.026,0.031,0.969,0.166,0.000
6,0.200,8.062,0.000,-2.708,0.000,1,0,0,0.000,0.256,0,0,1.000,0,0.000,0.000,0.000,0.000,0.509,0.335,0.000,0.246,0.034,0.966,0.154,0.000
8,0.267,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,10.205,0.048,0.000,2.271,0.833,0.167,0.267,0.800
10,0.334,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.045,0.796,0.000,0.102,0.012,0.988,0.015,0.580
12,0.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.242,0.530,0.000,0.253,0.018,0.982,0.039,0.580
14,0.467,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.231,0.353,0.000,0.772,0.013,0.987,0.051,0.580
16,0.534,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.470,0.634,0.000,1.141,0.015,0.985,0.037,0.580
18,0.601,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.734,0.849,0.000,0.005,0.030,0.970,0.029,0.580
20,0.667,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.141,0.794,0.000,1.639,0.012,0.988,0.018,0.580
22,0.734,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.252,0.575,0.000,0.527,0.013,0.987,0.036,0.580
24,0.801,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.353,0.619,0.000,0.208,0.015,0.985,0.036,0.580
26,0.868,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.204,0.563,0.000,0.432,0.014,0.986,0.036,0.580
28,0.934,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.403,0.430,0.000,0.028,0.038,0.962,0.050,0.580
30,1.001,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.155,0.842,0.000,0.020,0.010,0.990,0.015,0.580
32,1.068,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.110,0.871,0.000,0.543,0.011,0.989,0.012,0.580
34,1.134,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.047,0.961,0.000,0.945,0.007,0.993,0.004,0.580
36,1.201,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.072,0.738,0.000,1.219,0.013,0.987,0.020,0.580
38,1.268,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.092,0.424,0.000,0.429,0.018,0.982,0.043,0.580
40,1.335,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.089,0.625,0.000,0.826,0.014,0.986,0.028,0.580
42,1.401,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.049,0.625,0.000,0.856,0.006,0.994,0.027,0.580
44,1.468,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.099,0.631,0.000,0.623,0.024,0.976,0.028,0.580
46,1.535,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.085,0.737,0.000,0.048,0.012,0.988,0.021,0.580
48,1.602,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.114,0.777,0.000,1.820,0.022,0.978,0.018,0.580
50,1.668,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.062,0.918,0.000,1.355,0.016,0.984,0.007,0.580
52,1.735,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.082,0.855,0.000,1.315,0.017,0.983,0.012,0.580
54,1.802,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.236,0.692,0.000,1.323,0.023,0.977,0.027,0.580
56,1.869,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.165,0.699,0.000,0.051,0.012,0.988,0.025,0.580
58,1.935,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.154,0.432,0.000,1.033,0.013,0.987,0.044,0.580
60,2.002,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.261,0.397,0.000,1.910,0.014,0.986,0.049,0.580
62,2.069,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,12.624,0.128,0.358,1.718,0.665,0.335,0.261,0.800
64,2.135,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.124,0.899,0.008,2.139,0.012,0.988,0.010,0.580
66,2.202,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.155,0.949,0.006,2.977,0.021,0.979,0.007,0.580
68,2.269,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,1.360,0.907,0.019,0.142,0.023,0.977,0.041,0.580
70,2.336,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,0,0,1.000,0,0.000,0.000,0.000,0.000,0.609,0.843,4.433,0.011,0.033,0.967,0.026,0.700
