frame_idx,timestamp,hand_velocity_left,hand_velocity_right,hand_acceleration_left,hand_acceleration_right,hands_present,grip_state_left,grip_state_right,hand_distance,trajectory_curvature,num_tools,tool_changed,tool_stability,num_interactions,contact_point_shift,contact_point_variance,interaction_density,interaction_rhythm,flow_magnitude,flow_uniformity,flow_discontinuity,direction_change,scene_change_score,visual_stability,activity_level,transition_score
0,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,1.000,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.100,0.000
2,0.067,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,1.000,0,0.000,0.000,0.000,0.000,0.047,0.936,0.000,2.963,0.016,0.984,0.106,0.550
4,0.133,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,1.000,0,0.000,0.000,0.000,0.000,0.106,0.996,0.000,0.484,0.029,0.971,0.103,0.000
6,0.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.667,0,0.000,0.000,0.000,0.000,0.042,0.785,0.000,2.908,0.015,0.985,0.116,0.750
8,0.267,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.750,0,0.000,0.000,0.000,0.000,0.055,0.861,0.000,2.477,0.017,0.983,0.111,0.550
10,0.334,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.800,0,0.000,0.000,0.000,0.000,0.043,0.640,0.000,2.059,0.029,0.971,0.126,0.550
12,0.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,1,0.667,0,0.000,0.000,0.000,0.000,0.059,0.564,0.000,2.493,0.019,0.981,0.132,0.750
14,0.467,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.714,0,0.000,0.000,0.000,0.000,0.060,0.019,0.000,1.290,0.040,0.960,0.170,0.000
16,0.534,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,5,1,0.625,0,0.000,0.000,0.000,0.000,3.434,0.915,0.000,1.279,0.344,0.656,0.192,0.750
18,0.601,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,1,0.556,0,0.000,0.000,0.000,0.000,3.482,0.865,0.000,0.690,0.283,0.717,0.197,0.750
20,0.667,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.600,0,0.000,0.000,0.000,0.000,2.115,0.917,0.000,0.610,0.196,0.804,0.159,0.000
22,0.734,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.545,0,0.000,0.000,0.000,0.000,0.633,0.291,0.000,2.024,0.125,0.875,0.165,0.750
24,0.801,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,1,0.500,0,0.000,0.000,0.000,0.000,1.383,0.893,0.000,0.437,0.203,0.797,0.142,0.750
26,0.868,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.462,0,0.000,0.000,0.000,0.000,0.981,0.902,0.000,3.065,0.181,0.819,0.131,0.750
28,0.934,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,1,0.429,0,0.000,0.000,0.000,0.000,1.706,0.694,0.000,0.939,0.160,0.840,0.164,0.750
30,1.001,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.467,0,0.000,0.000,0.000,0.000,0.749,0.493,0.000,0.114,0.095,0.905,0.154,0.000
32,1.068,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.500,0,0.000,0.000,0.000,0.000,0.566,0.892,0.000,2.185,0.067,0.933,0.122,0.550
34,1.134,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.529,0,0.000,0.000,0.000,0.000,0.809,0.542,0.000,2.341,0.113,0.887,0.152,0.550
36,1.201,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,5,1,0.500,0,0.000,0.000,0.000,0.000,0.418,0.800,0.000,2.057,0.037,0.963,0.124,0.750
38,1.268,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,1,0.474,0,0.000,0.000,0.000,0.000,0.582,0.902,0.000,0.104,0.090,0.910,0.121,0.750
40,1.335,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.500,0,0.000,0.000,0.000,0.000,0.519,0.165,0.000,0.332,0.111,0.889,0.171,0.480
42,1.401,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,1,0.476,0,0.000,0.000,0.000,0.000,0.244,0.985,0.000,0.524,0.016,0.984,0.107,0.750
44,1.468,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.455,0,0.000,0.000,0.000,0.000,0.400,0.943,0.000,0.633,0.080,0.920,0.114,0.750
46,1.535,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.478,0,0.000,0.000,0.000,0.000,0.127,0.768,0.000,0.125,0.019,0.981,0.119,0.000
48,1.602,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.500,0,0.000,0.000,0.000,0.000,0.407,0.920,0.000,0.077,0.078,0.922,0.116,0.000
50,1.668,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.520,0,0.000,0.000,0.000,0.000,0.248,0.573,0.000,0.065,0.053,0.947,0.136,0.000
52,1.735,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.538,0,0.000,0.000,0.000,0.000,0.191,0.609,0.000,0.102,0.041,0.959,0.132,0.000
54,1.802,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.556,0,0.000,0.000,0.000,0.000,0.341,0.878,0.000,0.101,0.069,0.931,0.117,0.000
56,1.869,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.571,0,0.000,0.000,0.000,0.000,0.181,0.705,0.000,0.030,0.040,0.960,0.125,0.000
58,1.935,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.586,0,0.000,0.000,0.000,0.000,0.203,0.778,0.000,0.024,0.045,0.955,0.121,0.000
