frame_idx,timestamp,hand_velocity_left,hand_velocity_right,hand_acceleration_left,hand_acceleration_right,hands_present,grip_state_left,grip_state_right,hand_distance,trajectory_curvature,num_tools,tool_changed,tool_stability,num_interactions,contact_point_shift,contact_point_variance,interaction_density,interaction_rhythm,flow_magnitude,flow_uniformity,flow_discontinuity,direction_change,scene_change_score,visual_stability,activity_level,transition_score
0,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,1.000,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.100,0.000
2,0.080,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,5,1,0.000,0,0.000,0.000,0.000,0.000,0.254,0.357,0.000,0.410,0.058,0.942,0.151,0.750
4,0.160,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,5,0,0.500,0,0.000,0.000,0.000,0.000,1.158,0.330,0.000,1.808,0.048,0.952,0.176,0.550
6,0.240,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,5,1,0.333,0,0.000,0.000,0.000,0.000,0.701,0.627,0.000,2.398,0.035,0.965,0.144,0.750
8,0.320,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,5,0,0.500,0,0.000,0.000,0.000,0.000,2.040,0.805,0.000,0.098,0.043,0.957,0.165,0.000
10,0.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,5,0,0.600,0,0.000,0.000,0.000,0.000,2.510,0.802,0.000,0.143,0.046,0.954,0.177,0.000
12,0.480,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.500,0,0.000,0.000,0.000,0.000,0.711,0.617,0.000,0.296,0.026,0.974,0.045,0.750
14,0.560,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,1,0.429,0,0.000,0.000,0.000,0.000,0.570,0.494,0.000,1.032,0.026,0.974,0.050,0.750
16,0.640,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.500,0,0.000,0.000,0.000,0.000,0.693,0.542,0.000,0.085,0.050,0.950,0.049,0.000
18,0.720,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,1,0.444,0,0.000,0.000,0.000,0.000,0.536,0.697,0.000,0.646,0.028,0.972,0.135,0.750
20,0.800,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.400,0,0.000,0.000,0.000,0.000,0.381,0.443,0.000,0.618,0.016,0.984,0.148,0.750
22,0.880,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.455,0,0.000,0.000,0.000,0.000,0.281,0.278,0.000,0.217,0.044,0.956,0.158,0.000
24,0.960,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.500,0,0.000,0.000,0.000,0.000,0.310,0.587,0.000,1.785,0.034,0.966,0.137,0.550
26,1.040,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.538,0,0.000,0.000,0.000,0.000,0.285,0.749,0.000,2.530,0.045,0.955,0.125,0.550
28,1.120,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.571,0,0.000,0.000,0.000,0.000,0.109,0.784,0.000,0.465,0.019,0.981,0.118,0.000
30,1.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,1,0.533,0,0.000,0.000,0.000,0.000,0.252,0.594,0.000,2.940,0.028,0.972,0.035,0.750
32,1.280,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.562,0,0.000,0.000,0.000,0.000,0.253,0.508,0.000,0.162,0.022,0.978,0.041,0.000
34,1.360,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.588,0,0.000,0.000,0.000,0.000,0.278,0.696,0.000,0.393,0.035,0.965,0.028,0.000
36,1.440,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,1,0.556,0,0.000,0.000,0.000,0.000,0.430,0.646,0.000,0.828,0.033,0.967,0.136,0.750
38,1.520,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.579,0,0.000,0.000,0.000,0.000,2.650,0.699,0.000,0.046,0.100,0.900,0.187,0.000
40,1.600,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.600,0,0.000,0.000,0.000,0.000,2.788,0.426,0.000,3.111,0.098,0.902,0.210,0.550
42,1.680,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,1,0.571,0,0.000,0.000,0.000,0.000,3.471,0.404,0.000,2.281,0.099,0.901,0.228,0.750
44,1.760,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.591,0,0.000,0.000,0.000,0.000,1.988,0.647,0.000,2.416,0.052,0.948,0.174,0.550
46,1.840,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.609,0,0.000,0.000,0.000,0.000,1.540,0.436,0.000,0.829,0.055,0.945,0.178,0.000
48,1.920,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.583,0,0.000,0.000,0.000,0.000,1.990,0.745,0.000,0.646,0.051,0.949,0.068,0.750
50,2.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.600,0,0.000,0.000,0.000,0.000,2.481,0.841,0.000,0.179,0.064,0.936,0.073,0.000
52,2.080,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.615,0,0.000,0.000,0.000,0.000,1.796,0.807,0.000,0.171,0.065,0.935,0.058,0.000
54,2.160,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.630,0,0.000,0.000,0.000,0.000,1.430,0.925,0.000,0.609,0.048,0.952,0.041,0.000
56,2.240,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.643,0,0.000,0.000,0.000,0.000,1.077,0.953,0.000,0.038,0.033,0.967,0.030,0.000
58,2.320,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.655,0,0.000,0.000,0.000,0.000,1.161,0.909,0.000,0.316,0.045,0.955,0.035,0.000
60,2.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.690,0,0.000,0.000,0.000,0.000,1.389,0.901,0.000,0.017,0.046,0.954,0.042,0.000
62,2.480,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,1,0.655,0,0.000,0.000,0.000,0.000,0.608,0.695,1.393,0.502,0.040,0.960,0.037,0.750
64,2.560,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.655,0,0.000,0.000,0.000,0.000,0.637,0.818,1.428,0.354,0.043,0.957,0.029,0.750
66,2.640,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,1,0.621,0,0.000,0.000,0.000,0.000,0.687,0.836,1.558,0.004,0.032,0.968,0.029,0.750
68,2.720,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.621,0,0.000,0.000,0.000,0.000,0.967,0.406,1.605,3.047,0.034,0.966,0.066,0.700
70,2.800,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.621,0,0.000,0.000,0.000,0.000,0.685,0.873,1.203,3.062,0.040,0.960,0.026,0.750
72,2.880,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,1,0.621,0,0.000,0.000,0.000,0.000,0.459,0.519,0.938,0.672,0.032,0.968,0.045,0.750
74,2.960,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.621,0,0.000,0.000,0.000,0.000,0.342,0.623,0.352,2.716,0.029,0.971,0.035,0.550
76,3.040,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.655,0,0.000,0.000,0.000,0.000,0.258,0.910,0.155,0.171,0.047,0.953,0.013,0.000
78,3.120,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.690,0,0.000,0.000,0.000,0.000,0.120,0.735,0.025,1.811,0.026,0.974,0.022,0.550
80,3.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.690,0,0.000,0.000,0.000,0.000,0.162,0.289,0.174,1.540,0.037,0.963,0.054,0.550
82,3.280,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.690,0,0.000,0.000,0.000,0.000,0.208,0.657,0.427,0.585,0.042,0.958,0.029,0.000
84,3.360,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.690,0,0.000,0.000,0.000,0.000,0.197,0.870,0.622,2.216,0.041,0.959,0.014,0.550
86,3.440,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.690,0,0.000,0.000,0.000,0.000,0.177,0.676,0.788,1.469,0.032,0.968,0.027,0.550
88,3.520,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.724,0,0.000,0.000,0.000,0.000,0.132,0.542,0.927,0.527,0.030,0.970,0.035,0.000
90,3.600,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.724,0,0.000,0.000,0.000,0.000,0.175,0.649,1.128,1.673,0.047,0.953,0.029,0.550
92,3.680,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.724,0,0.000,0.000,0.000,0.000,0.119,0.304,1.377,2.348,0.030,0.970,0.052,0.550
94,3.760,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.759,0,0.000,0.000,0.000,0.000,0.127,0.797,1.491,2.284,0.027,0.973,0.017,0.700
96,3.840,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.759,0,0.000,0.000,0.000,0.000,0.082,0.445,1.619,2.283,0.021,0.979,0.041,0.700
98,3.920,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.759,0,0.000,0.000,0.000,0.000,0.118,0.653,1.735,2.991,0.027,0.973,0.027,0.700
100,4.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.793,0,0.000,0.000,0.000,0.000,0.355,0.921,1.710,2.088,0.059,0.941,0.014,0.700
102,4.080,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.793,0,0.000,0.000,0.000,0.000,0.352,0.946,1.638,2.899,0.070,0.930,0.013,0.700
104,4.160,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.793,0,0.000,0.000,0.000,0.000,0.294,0.944,1.807,0.167,0.059,0.941,0.011,0.700
