frame_idx,timestamp,hand_velocity_left,hand_velocity_right,hand_acceleration_left,hand_acceleration_right,hands_present,grip_state_left,grip_state_right,hand_distance,trajectory_curvature,num_tools,tool_changed,tool_stability,num_interactions,contact_point_shift,contact_point_variance,interaction_density,interaction_rhythm,flow_magnitude,flow_uniformity,flow_discontinuity,direction_change,scene_change_score,visual_stability,activity_level,transition_score
0,0.000,0.000,0.000,0.000,0.000,1,0,0,0.000,0.000,3,0,1.000,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.150,0.000
3,0.100,0.000,11.402,0.000,11.402,1,0,0,0.000,0.000,4,1,0.000,2,0.000,0.000,0.500,0.000,1.889,0.584,0.000,0.619,0.108,0.892,0.440,0.750
6,0.200,0.000,20.224,0.000,8.822,1,0,0,0.000,0.000,4,0,0.500,2,33.121,0.000,0.667,0.414,3.238,0.696,0.000,0.538,0.100,0.900,0.535,0.000
9,0.300,0.000,2.236,0.000,-17.988,1,0,0,0.000,1.886,4,0,0.667,2,9.055,161.778,0.750,0.449,1.811,0.176,0.000,1.632,0.093,0.907,0.445,0.580
12,0.400,0.000,11.402,0.000,9.166,1,0,0,0.000,1.629,4,0,0.750,2,13.000,122.688,0.800,0.464,2.174,0.769,0.000,1.414,0.087,0.913,0.470,0.550
15,0.500,0.000,27.893,0.000,16.491,1,0,0,0.000,1.091,4,0,0.800,2,53.460,303.280,0.833,0.472,4.015,0.222,0.000,0.531,0.100,0.900,0.650,0.480
18,0.600,0.000,11.705,0.000,-16.188,1,0,1,0.000,1.453,4,0,0.833,2,42.942,296.472,0.857,0.477,2.195,0.675,0.000,0.193,0.082,0.918,0.566,0.550
21,0.700,0.000,20.000,0.000,8.295,1,0,1,0.000,1.592,4,0,0.857,2,87.361,828.245,0.875,0.481,2.266,0.864,0.000,0.318,0.096,0.904,0.602,0.350
24,0.800,0.000,0.000,0.000,0.000,1,0,0,0.000,0.000,3,1,0.750,1,87.361,828.245,0.889,0.500,0.735,0.261,0.000,2.950,0.076,0.924,0.387,0.750
27,0.900,0.000,17.692,0.000,-2.308,1,0,1,0.000,1.820,4,1,0.667,2,49.477,1571.172,0.900,0.500,0.976,0.695,0.000,0.003,0.065,0.935,0.572,0.750
30,1.000,12.083,0.000,12.083,0.000,1,0,0,0.000,0.000,4,0,0.700,2,90.554,2076.123,0.909,0.500,0.774,0.366,0.000,2.930,0.075,0.925,0.480,0.550
33,1.100,0.000,11.402,0.000,-6.290,1,0,1,0.000,1.796,4,0,0.727,2,139.032,1923.040,0.917,0.500,0.782,0.331,0.000,1.982,0.072,0.928,0.560,0.750
36,1.200,99.730,57.689,87.647,46.287,2,0,1,42.107,1.612,4,0,0.750,2,139.032,1923.040,0.923,0.500,5.064,0.409,0.000,0.117,0.200,0.800,0.899,0.750
39,1.300,41.000,0.000,-58.730,0.000,1,0,0,0.000,2.452,4,0,0.769,2,52.431,1772.438,0.929,0.500,4.145,0.464,0.000,1.663,0.121,0.879,0.720,0.650
42,1.400,14.866,0.000,-26.134,0.000,1,0,0,0.000,1.753,4,0,0.786,2,80.802,1768.080,0.933,0.500,3.453,0.616,0.000,0.095,0.098,0.902,0.548,0.450
45,1.500,30.806,0.000,15.940,0.000,1,0,0,0.000,1.862,4,0,0.800,2,29.682,1800.083,0.938,0.500,3.624,0.593,0.000,0.089,0.096,0.904,0.643,0.350
48,1.600,13.601,0.000,-17.204,0.000,1,1,0,0.000,1.967,4,0,0.812,2,23.770,1881.337,0.941,0.500,2.167,0.718,0.000,0.355,0.105,0.895,0.582,0.550
51,1.700,3.000,0.000,-10.601,0.000,1,1,0,0.000,1.700,4,0,0.824,2,169.594,2182.942,0.944,0.500,1.255,0.568,0.000,0.671,0.091,0.909,0.512,0.750
54,1.800,8.246,0.000,5.246,0.000,1,1,0,0.000,1.457,4,0,0.833,2,194.641,2314.232,0.947,0.500,1.953,0.109,0.000,1.457,0.071,0.929,0.591,0.750
57,1.900,0.000,56.436,0.000,-1.253,1,0,1,0.000,1.385,4,0,0.842,2,52.839,2309.397,0.950,0.500,5.252,0.132,0.000,0.832,0.150,0.850,0.876,0.500
60,2.000,0.000,93.048,0.000,36.613,1,0,1,0.000,1.282,4,0,0.850,2,212.398,2738.396,0.952,0.500,0.708,0.245,0.000,1.365,0.056,0.944,0.755,0.750
63,2.100,0.000,19.105,0.000,-73.943,1,0,1,0.000,1.370,5,1,0.810,2,29.428,3282.284,0.955,0.500,0.936,0.367,0.000,0.418,0.070,0.930,0.590,0.750
66,2.200,0.000,1.000,0.000,-18.105,1,0,1,0.000,1.352,5,0,0.818,2,117.427,5099.188,0.957,0.500,0.837,0.677,0.000,0.643,0.058,0.942,0.466,0.652
69,2.300,0.000,3.162,0.000,2.162,1,0,1,0.000,1.320,4,1,0.783,1,117.427,5099.188,0.958,0.506,0.454,0.815,0.000,1.618,0.044,0.956,0.432,0.750
72,2.400,0.000,3.162,0.000,0.000,1,0,1,0.000,1.262,4,0,0.792,1,117.427,5099.188,0.960,0.511,0.368,0.608,0.000,0.282,0.048,0.952,0.444,0.652
75,2.500,0.000,3.162,0.000,0.000,1,0,1,0.000,1.448,5,1,0.760,2,117.427,5099.188,0.962,0.511,1.150,0.272,0.000,2.263,0.067,0.933,0.515,0.750
78,2.600,0.000,5.000,0.000,1.838,1,0,1,0.000,1.760,5,0,0.769,1,117.427,5099.188,0.963,0.516,0.947,0.636,0.000,0.128,0.067,0.933,0.459,0.652
81,2.700,0.000,3.606,0.000,-1.394,1,0,1,0.000,1.874,5,0,0.778,1,117.427,5099.188,0.964,0.521,0.785,0.323,0.000,1.182,0.072,0.928,0.469,0.652
