frame_idx,timestamp,hand_velocity_left,hand_velocity_right,hand_acceleration_left,hand_acceleration_right,hands_present,grip_state_left,grip_state_right,hand_distance,trajectory_curvature,num_tools,tool_changed,tool_stability,num_interactions,contact_point_shift,contact_point_variance,interaction_density,interaction_rhythm,flow_magnitude,flow_uniformity,flow_discontinuity,direction_change,scene_change_score,visual_stability,activity_level,transition_score
0,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,1.000,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.100,0.000
3,0.100,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,1,0.000,0,0.000,0.000,0.000,0.000,2.408,0.305,0.000,1.088,0.028,0.972,0.209,0.750
6,0.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.000,0,0.000,0.000,0.000,0.000,0.025,0.997,0.000,0.582,0.000,1.000,0.101,0.750
9,0.300,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,1,0.000,0,0.000,0.000,0.000,0.000,0.024,0.993,0.000,1.876,0.000,1.000,0.001,0.750
12,0.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.250,0,0.000,0.000,0.000,0.000,0.024,0.991,0.000,2.081,0.000,1.000,0.001,0.550
15,0.500,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.400,0,0.000,0.000,0.000,0.000,0.025,0.994,0.000,2.225,0.000,1.000,0.001,0.550
18,0.600,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.500,0,0.000,0.000,0.000,0.000,0.025,0.991,0.000,2.211,0.000,1.000,0.001,0.550
21,0.700,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.429,0,0.000,0.000,0.000,0.000,1.858,0.193,0.000,2.505,0.025,0.975,0.103,0.750
24,0.800,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,1,0.375,0,0.000,0.000,0.000,0.000,0.001,1.000,0.000,1.828,0.000,1.000,0.000,0.750
27,0.900,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.333,0,0.000,0.000,0.000,0.000,0.003,0.288,0.000,2.899,0.000,1.000,0.150,0.750
30,1.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.400,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,3.129,0.000,1.000,0.100,0.550
33,1.100,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.455,0,0.000,0.000,0.000,0.000,0.001,0.446,0.000,1.476,0.000,1.000,0.139,0.550
36,1.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.500,0,0.000,0.000,0.000,0.000,0.001,0.766,0.000,1.471,0.000,1.000,0.116,0.550
39,1.300,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.538,0,0.000,0.000,0.000,0.000,0.002,0.988,0.000,1.502,0.000,1.000,0.101,0.550
42,1.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.571,0,0.000,0.000,0.000,0.000,0.001,0.244,0.000,0.228,0.000,1.000,0.153,0.480
45,1.500,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.600,0,0.000,0.000,0.000,0.000,0.002,0.931,0.000,0.960,0.000,1.000,0.105,0.000
48,1.600,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.625,0,0.000,0.000,0.000,0.000,0.001,0.146,0.000,1.039,0.000,1.000,0.160,0.480
51,1.700,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.647,0,0.000,0.000,0.000,0.000,0.008,0.620,0.000,0.673,0.001,0.999,0.127,0.000
54,1.800,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.667,0,0.000,0.000,0.000,0.000,0.002,0.994,0.000,0.853,0.000,1.000,0.100,0.000
57,1.900,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.684,0,0.000,0.000,0.000,0.000,0.002,0.582,0.000,1.511,0.000,1.000,0.129,0.550
60,2.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.700,0,0.000,0.000,0.000,0.000,0.002,0.343,0.000,0.488,0.000,1.000,0.146,0.000
63,2.100,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.714,0,0.000,0.000,0.000,0.000,0.004,0.993,0.000,0.171,0.000,1.000,0.101,0.000
66,2.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,1,0.682,0,0.000,0.000,0.000,0.000,12.854,0.240,0.000,0.386,0.080,0.920,0.353,0.750
69,2.300,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.652,0,0.000,0.000,0.000,0.000,0.023,0.987,0.000,0.468,0.000,1.000,0.101,0.750
72,2.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,1,0.625,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.507,0.000,1.000,0.000,0.750
75,2.500,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.640,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.492,0.000,1.000,0.000,0.000
78,2.600,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.654,0,0.000,0.000,0.000,0.000,0.014,0.139,0.000,1.006,0.000,1.000,0.061,0.480
81,2.700,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.630,0,0.000,0.000,0.000,0.000,0.014,0.257,0.000,0.165,0.000,1.000,0.052,0.750
