frame_idx,timestamp,hand_velocity_left,hand_velocity_right,hand_acceleration_left,hand_acceleration_right,hands_present,grip_state_left,grip_state_right,hand_distance,trajectory_curvature,num_tools,tool_changed,tool_stability,num_interactions,contact_point_shift,contact_point_variance,interaction_density,interaction_rhythm,flow_magnitude,flow_uniformity,flow_discontinuity,direction_change,scene_change_score,visual_stability,activity_level,transition_score
0,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,1.000,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000
2,0.067,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,1.000,0,0.000,0.000,0.000,0.000,0.078,0.968,0.000,3.057,0.017,0.983,0.004,0.550
4,0.133,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,1.000,0,0.000,0.000,0.000,0.000,0.176,0.989,0.000,0.186,0.028,0.972,0.005,0.000
6,0.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,1.000,0,0.000,0.000,0.000,0.000,0.066,0.246,0.000,3.065,0.015,0.985,0.054,0.550
8,0.267,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,1.000,0,0.000,0.000,0.000,0.000,0.096,0.715,0.000,2.779,0.017,0.983,0.022,0.550
10,0.334,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,1.000,0,0.000,0.000,0.000,0.000,0.068,0.842,0.000,2.707,0.029,0.971,0.013,0.550
12,0.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,1.000,0,0.000,0.000,0.000,0.000,0.097,0.749,0.000,2.984,0.019,0.981,0.020,0.550
14,0.467,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,1.000,0,0.000,0.000,0.000,0.000,0.096,0.589,0.000,2.263,0.040,0.960,0.031,0.550
16,0.534,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.875,0,0.000,0.000,0.000,0.000,5.996,0.936,0.000,2.278,0.337,0.663,0.154,0.750
18,0.601,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.889,0,0.000,0.000,0.000,0.000,5.519,0.863,0.000,0.215,0.273,0.727,0.148,0.000
20,0.667,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.900,0,0.000,0.000,0.000,0.000,3.297,0.951,0.000,0.052,0.167,0.833,0.086,0.000
22,0.734,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,1,0.818,0,0.000,0.000,0.000,0.000,1.149,0.329,0.000,3.057,0.109,0.891,0.076,0.750
24,0.801,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.750,0,0.000,0.000,0.000,0.000,2.397,0.874,0.000,0.113,0.173,0.827,0.069,0.750
26,0.868,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.769,0,0.000,0.000,0.000,0.000,1.656,0.864,0.000,3.103,0.156,0.844,0.051,0.550
28,0.934,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.786,0,0.000,0.000,0.000,0.000,2.628,0.568,0.000,0.307,0.141,0.859,0.096,0.000
30,1.001,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.800,0,0.000,0.000,0.000,0.000,1.231,0.100,0.000,2.966,0.084,0.916,0.094,0.550
32,1.068,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.812,0,0.000,0.000,0.000,0.000,0.922,0.533,0.000,0.097,0.059,0.941,0.056,0.000
34,1.134,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.824,0,0.000,0.000,0.000,0.000,1.214,0.647,0.000,0.161,0.105,0.895,0.055,0.000
36,1.201,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.833,0,0.000,0.000,0.000,0.000,0.688,0.473,0.000,0.061,0.038,0.962,0.054,0.000
38,1.268,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.842,0,0.000,0.000,0.000,0.000,0.954,0.277,0.000,0.001,0.085,0.915,0.074,0.000
40,1.335,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,1,0.800,0,0.000,0.000,0.000,0.000,0.975,0.850,0.000,0.064,0.102,0.898,0.035,0.750
42,1.401,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.810,0,0.000,0.000,0.000,0.000,0.317,0.986,0.000,0.219,0.016,0.984,0.009,0.000
44,1.468,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.818,0,0.000,0.000,0.000,0.000,0.719,0.981,0.000,0.254,0.074,0.926,0.019,0.000
46,1.535,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.826,0,0.000,0.000,0.000,0.000,0.165,0.920,0.000,0.031,0.018,0.982,0.010,0.000
48,1.602,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.833,0,0.000,0.000,0.000,0.000,0.706,0.988,0.000,0.021,0.071,0.929,0.018,0.000
50,1.668,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.840,0,0.000,0.000,0.000,0.000,0.396,0.871,0.000,0.017,0.050,0.950,0.019,0.000
52,1.735,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.846,0,0.000,0.000,0.000,0.000,0.290,0.694,0.000,0.025,0.040,0.960,0.029,0.000
54,1.802,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.852,0,0.000,0.000,0.000,0.000,0.512,0.836,0.000,0.031,0.064,0.936,0.024,0.000
56,1.869,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.857,0,0.000,0.000,0.000,0.000,0.271,0.843,0.000,0.008,0.039,0.961,0.018,0.000
58,1.935,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.862,0,0.000,0.000,0.000,0.000,0.332,0.401,0.000,0.004,0.044,0.956,0.050,0.000
60,2.002,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.862,0,0.000,0.000,0.000,0.000,0.502,0.463,0.000,0.041,0.064,0.936,0.050,0.000
62,2.069,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.828,0,0.000,0.000,0.000,0.000,0.869,0.966,0.541,0.028,0.056,0.944,0.024,0.750
64,2.135,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.828,0,0.000,0.000,0.000,0.000,2.096,0.791,0.582,0.147,0.057,0.943,0.067,0.000
66,2.202,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.828,0,0.000,0.000,0.000,0.000,4.245,0.193,0.600,0.174,0.169,0.831,0.163,0.480
68,2.269,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.828,0,0.000,0.000,0.000,0.000,6.457,0.096,0.503,0.605,0.143,0.857,0.225,0.000
70,2.336,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,5,1,0.793,0,0.000,0.000,0.000,0.000,8.556,0.025,0.340,0.178,0.173,0.827,0.368,0.750
72,2.402,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,5,0,0.793,0,0.000,0.000,0.000,0.000,9.703,0.119,0.092,0.192,0.168,0.832,0.362,0.000
74,2.469,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,5,0,0.828,0,0.000,0.000,0.000,0.000,6.854,0.271,0.264,3.044,0.111,0.889,0.322,0.550
76,2.536,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,5,0,0.828,0,0.000,0.000,0.000,0.000,2.662,0.327,0.489,1.774,0.097,0.903,0.214,0.550
78,2.603,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,5,0,0.828,0,0.000,0.000,0.000,0.000,2.145,0.169,1.025,1.076,0.099,0.901,0.212,0.000
80,2.669,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,5,0,0.862,0,0.000,0.000,0.000,0.000,1.725,0.095,2.112,0.107,0.083,0.917,0.206,0.700
82,2.736,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,5,0,0.897,0,0.000,0.000,0.000,0.000,2.117,0.227,3.064,0.147,0.092,0.908,0.207,0.700
84,2.803,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,5,0,0.897,0,0.000,0.000,0.000,0.000,3.914,0.769,3.200,0.231,0.112,0.888,0.214,0.700
86,2.870,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,5,0,0.897,0,0.000,0.000,0.000,0.000,1.774,0.699,4.284,0.639,0.083,0.917,0.165,0.700
88,2.936,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,5,0,0.897,0,0.000,0.000,0.000,0.000,3.302,0.655,4.743,0.600,0.106,0.894,0.207,0.700
90,3.003,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,6,0,0.897,0,0.000,0.000,0.000,0.000,5.670,0.426,9.240,0.483,0.180,0.820,0.282,0.700
92,3.070,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,6,0,0.897,0,0.000,0.000,0.000,0.000,2.904,0.513,11.657,0.550,0.116,0.884,0.207,0.700
94,3.136,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,6,0,0.897,0,0.000,0.000,0.000,0.000,2.261,0.682,12.255,2.311,0.122,0.878,0.179,0.700
96,3.203,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,5,1,0.862,0,0.000,0.000,0.000,0.000,1.183,0.714,7.898,0.047,0.092,0.908,0.150,0.750
98,3.270,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,6,1,0.862,0,0.000,0.000,0.000,0.000,2.066,0.498,3.167,0.244,0.110,0.890,0.187,0.750
100,3.337,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,7,1,0.828,0,0.000,0.000,0.000,0.000,1.632,0.633,1.475,2.434,0.092,0.908,0.166,0.750
102,3.403,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,7,0,0.828,0,0.000,0.000,0.000,0.000,0.813,0.793,0.627,0.027,0.052,0.948,0.135,0.000
104,3.470,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,8,1,0.793,0,0.000,0.000,0.000,0.000,1.630,0.929,0.110,0.080,0.087,0.913,0.146,0.750
106,3.537,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,7,1,0.759,0,0.000,0.000,0.000,0.000,0.325,0.259,0.124,1.266,0.027,0.973,0.160,0.750
108,3.604,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,7,0,0.759,0,0.000,0.000,0.000,0.000,0.600,0.126,0.227,1.105,0.033,0.967,0.176,0.000
110,3.670,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,5,0,0.759,0,0.000,0.000,0.000,0.000,0.600,0.727,0.293,1.310,0.065,0.935,0.134,0.550
