frame_idx,timestamp,hand_velocity_left,hand_velocity_right,hand_acceleration_left,hand_acceleration_right,hands_present,grip_state_left,grip_state_right,hand_distance,trajectory_curvature,num_tools,tool_changed,tool_stability,num_interactions,contact_point_shift,contact_point_variance,interaction_density,interaction_rhythm,flow_magnitude,flow_uniformity,flow_discontinuity,direction_change,scene_change_score,visual_stability,activity_level,transition_score
0,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,1.000,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000
3,0.100,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.000,0,0.000,0.000,0.000,0.000,2.865,0.533,0.000,0.428,0.081,0.919,0.104,0.750
6,0.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.500,0,0.000,0.000,0.000,0.000,2.198,0.511,0.000,0.308,0.082,0.918,0.089,0.000
9,0.300,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.667,0,0.000,0.000,0.000,0.000,2.559,0.648,0.000,0.336,0.084,0.916,0.089,0.000
12,0.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.750,0,0.000,0.000,0.000,0.000,4.970,0.827,0.000,0.030,0.112,0.888,0.136,0.000
15,0.500,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.800,0,0.000,0.000,0.000,0.000,5.989,0.677,0.000,0.025,0.156,0.844,0.172,0.000
18,0.600,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.833,0,0.000,0.000,0.000,0.000,9.380,0.581,0.000,0.168,0.175,0.825,0.229,0.000
21,0.700,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.857,0,0.000,0.000,0.000,0.000,9.641,0.650,0.000,0.192,0.171,0.829,0.225,0.000
24,0.800,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.875,0,0.000,0.000,0.000,0.000,8.923,0.590,0.000,0.034,0.163,0.837,0.229,0.000
27,0.900,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.889,0,0.000,0.000,0.000,0.000,8.557,0.485,0.000,0.181,0.150,0.850,0.236,0.000
30,1.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.900,0,0.000,0.000,0.000,0.000,9.353,0.218,0.000,0.022,0.151,0.849,0.255,0.000
33,1.100,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.909,0,0.000,0.000,0.000,0.000,11.053,0.305,0.000,0.053,0.159,0.841,0.249,0.000
36,1.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.917,0,0.000,0.000,0.000,0.000,6.127,0.616,0.000,0.065,0.160,0.840,0.180,0.000
39,1.300,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.923,0,0.000,0.000,0.000,0.000,2.296,0.599,0.000,1.316,0.136,0.864,0.085,0.550
42,1.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.929,0,0.000,0.000,0.000,0.000,3.543,0.590,0.000,1.560,0.133,0.867,0.117,0.550
45,1.500,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.933,0,0.000,0.000,0.000,0.000,6.412,0.927,0.000,0.060,0.192,0.808,0.165,0.000
48,1.600,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.938,0,0.000,0.000,0.000,0.000,8.625,0.976,0.000,0.002,0.158,0.842,0.202,0.000
51,1.700,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.941,0,0.000,0.000,0.000,0.000,9.061,0.971,0.000,0.075,0.175,0.825,0.202,0.000
54,1.800,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.944,0,0.000,0.000,0.000,0.000,10.405,0.988,0.000,0.166,0.165,0.835,0.201,0.000
57,1.900,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.947,0,0.000,0.000,0.000,0.000,12.694,0.988,0.000,0.026,0.183,0.817,0.201,0.000
60,2.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.950,0,0.000,0.000,0.000,0.000,13.279,0.994,0.000,0.010,0.196,0.804,0.200,0.000
