frame_idx,timestamp,hand_velocity_left,hand_velocity_right,hand_acceleration_left,hand_acceleration_right,hands_present,grip_state_left,grip_state_right,hand_distance,trajectory_curvature,num_tools,tool_changed,tool_stability,num_interactions,contact_point_shift,contact_point_variance,interaction_density,interaction_rhythm,flow_magnitude,flow_uniformity,flow_discontinuity,direction_change,scene_change_score,visual_stability,activity_level,transition_score
0,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,1.000,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000
3,0.100,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.000,0,0.000,0.000,0.000,0.000,3.041,0.590,0.000,0.324,0.067,0.933,0.105,0.750
6,0.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.500,0,0.000,0.000,0.000,0.000,2.516,0.502,0.000,0.223,0.069,0.931,0.098,0.000
9,0.300,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.667,0,0.000,0.000,0.000,0.000,3.104,0.662,0.000,0.250,0.070,0.930,0.101,0.000
12,0.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.750,0,0.000,0.000,0.000,0.000,6.256,0.855,0.000,0.014,0.100,0.900,0.167,0.000
15,0.500,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.800,0,0.000,0.000,0.000,0.000,7.296,0.702,0.000,0.018,0.145,0.855,0.203,0.000
18,0.600,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.833,0,0.000,0.000,0.000,0.000,11.754,0.404,0.000,0.624,0.168,0.832,0.242,0.000
21,0.700,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.857,0,0.000,0.000,0.000,0.000,10.676,0.509,0.000,0.077,0.165,0.835,0.234,0.000
24,0.800,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.875,0,0.000,0.000,0.000,0.000,9.907,0.584,0.000,0.298,0.153,0.847,0.229,0.000
27,0.900,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.889,0,0.000,0.000,0.000,0.000,9.242,0.436,0.000,0.109,0.131,0.869,0.239,0.000
30,1.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.900,0,0.000,0.000,0.000,0.000,9.058,0.204,0.000,0.010,0.131,0.869,0.256,0.000
33,1.100,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.909,0,0.000,0.000,0.000,0.000,10.414,0.253,0.000,0.047,0.139,0.861,0.252,0.000
36,1.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.917,0,0.000,0.000,0.000,0.000,7.331,0.579,0.000,0.002,0.143,0.857,0.213,0.000
39,1.300,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.923,0,0.000,0.000,0.000,0.000,2.617,0.536,0.000,1.285,0.121,0.879,0.098,0.000
42,1.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.929,0,0.000,0.000,0.000,0.000,4.545,0.650,0.000,1.480,0.117,0.883,0.138,0.550
45,1.500,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.933,0,0.000,0.000,0.000,0.000,8.211,0.931,0.000,0.048,0.172,0.828,0.205,0.000
48,1.600,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.938,0,0.000,0.000,0.000,0.000,11.012,0.968,0.000,0.007,0.135,0.865,0.202,0.000
51,1.700,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.941,0,0.000,0.000,0.000,0.000,11.133,0.957,0.000,0.052,0.152,0.848,0.203,0.000
54,1.800,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.944,0,0.000,0.000,0.000,0.000,13.021,0.973,0.000,0.124,0.144,0.856,0.202,0.000
57,1.900,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.947,0,0.000,0.000,0.000,0.000,14.265,0.952,0.000,0.016,0.156,0.844,0.203,0.000
60,2.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.950,0,0.000,0.000,0.000,0.000,14.851,0.931,0.000,0.007,0.168,0.832,0.205,0.000
63,2.100,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.952,0,0.000,0.000,0.000,0.000,15.407,0.940,0.000,0.038,0.170,0.830,0.204,0.000
66,2.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.955,0,0.000,0.000,0.000,0.000,14.836,0.975,0.000,0.074,0.187,0.813,0.202,0.000
69,2.300,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.957,0,0.000,0.000,0.000,0.000,10.895,0.985,0.000,0.123,0.184,0.816,0.201,0.000
72,2.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.958,0,0.000,0.000,0.000,0.000,9.769,0.989,0.000,0.026,0.178,0.822,0.201,0.000
75,2.500,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.960,0,0.000,0.000,0.000,0.000,5.064,0.990,0.000,0.042,0.171,0.829,0.127,0.000
78,2.600,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.962,0,0.000,0.000,0.000,0.000,2.127,0.351,0.000,1.283,0.140,0.860,0.099,0.000
81,2.700,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.963,0,0.000,0.000,0.000,0.000,2.115,0.364,0.000,2.313,0.140,0.860,0.097,0.550
84,2.800,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.964,0,0.000,0.000,0.000,0.000,7.591,0.878,0.000,0.644,0.174,0.826,0.198,0.000
87,2.900,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.966,0,0.000,0.000,0.000,0.000,9.198,0.986,0.000,0.193,0.164,0.836,0.201,0.000
90,3.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,1.000,0,0.000,0.000,0.000,0.000,8.372,0.994,0.000,0.115,0.169,0.831,0.200,0.000
93,3.100,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,1.000,0,0.000,0.000,0.000,0.000,5.338,0.992,0.941,0.031,0.237,0.763,0.134,0.000
96,3.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,1.000,0,0.000,0.000,0.000,0.000,3.971,0.982,0.658,0.080,0.139,0.861,0.101,0.000
99,3.300,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,1.000,0,0.000,0.000,0.000,0.000,6.316,0.994,0.335,0.035,0.138,0.862,0.158,0.000
102,3.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,1,0.966,0,0.000,0.000,0.000,0.000,0.417,0.361,0.057,0.903,0.057,0.943,0.055,0.750
105,3.500,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.966,0,0.000,0.000,0.000,0.000,1.086,0.739,0.547,1.825,0.111,0.889,0.045,0.550
108,3.600,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.966,0,0.000,0.000,0.000,0.000,0.432,0.766,0.952,0.075,0.044,0.956,0.027,0.000
111,3.700,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.931,0,0.000,0.000,0.000,0.000,1.586,0.883,1.239,0.224,0.167,0.833,0.048,0.750
114,3.800,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,1,0.897,0,0.000,0.000,0.000,0.000,0.420,0.943,1.490,0.038,0.039,0.961,0.015,0.750
117,3.900,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.897,0,0.000,0.000,0.000,0.000,0.187,0.821,1.700,0.235,0.017,0.983,0.017,0.700
120,4.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.897,0,0.000,0.000,0.000,0.000,0.082,0.660,1.889,2.249,0.010,0.990,0.026,0.700
123,4.100,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.897,0,0.000,0.000,0.000,0.000,0.796,0.965,1.792,2.493,0.065,0.935,0.022,0.700
126,4.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.897,0,0.000,0.000,0.000,0.000,0.516,0.960,1.484,0.094,0.060,0.940,0.016,0.700
129,4.300,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.897,0,0.000,0.000,0.000,0.000,0.710,0.669,1.318,0.188,0.076,0.924,0.041,0.000
132,4.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.897,0,0.000,0.000,0.000,0.000,0.279,0.276,1.592,0.772,0.052,0.948,0.058,0.700
135,4.500,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.897,0,0.000,0.000,0.000,0.000,0.052,0.312,1.888,1.844,0.008,0.992,0.049,0.700
138,4.600,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.897,0,0.000,0.000,0.000,0.000,0.067,0.621,2.025,0.028,0.009,0.991,0.028,0.700
141,4.700,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.862,0,0.000,0.000,0.000,0.000,0.356,0.373,1.952,0.160,0.023,0.977,0.053,0.750
144,4.800,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.862,0,0.000,0.000,0.000,0.000,1.270,0.029,1.816,0.053,0.037,0.963,0.100,0.700
147,4.900,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.862,0,0.000,0.000,0.000,0.000,2.116,0.222,1.822,0.179,0.054,0.946,0.107,0.700
150,5.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.862,0,0.000,0.000,0.000,0.000,1.341,0.080,1.529,0.079,0.059,0.941,0.098,0.700
153,5.100,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.862,0,0.000,0.000,0.000,0.000,2.089,0.260,1.368,0.426,0.050,0.950,0.104,0.000
156,5.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.862,0,0.000,0.000,0.000,0.000,1.968,0.110,1.221,0.416,0.054,0.946,0.112,0.000
159,5.300,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.862,0,0.000,0.000,0.000,0.000,2.585,0.064,1.189,0.087,0.062,0.938,0.130,0.000
162,5.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.862,0,0.000,0.000,0.000,0.000,2.161,0.088,1.010,0.258,0.046,0.954,0.118,0.000
165,5.500,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.862,0,0.000,0.000,0.000,0.000,1.704,0.287,0.827,0.460,0.045,0.955,0.093,0.000
168,5.600,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.862,0,0.000,0.000,0.000,0.000,1.452,0.270,0.663,0.729,0.056,0.944,0.087,0.000
171,5.700,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.862,0,0.000,0.000,0.000,0.000,1.382,0.145,0.611,0.784,0.066,0.934,0.094,0.000
174,5.800,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.862,0,0.000,0.000,0.000,0.000,1.211,0.248,0.549,0.755,0.033,0.967,0.083,0.000
177,5.900,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.862,0,0.000,0.000,0.000,0.000,1.139,0.201,0.422,0.681,0.037,0.963,0.084,0.000
180,6.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.862,0,0.000,0.000,0.000,0.000,0.463,0.140,0.251,0.019,0.032,0.968,0.072,0.000
183,6.100,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,1,0.828,0,0.000,0.000,0.000,0.000,0.618,0.351,0.030,0.058,0.049,0.951,0.061,0.750
186,6.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.793,0,0.000,0.000,0.000,0.000,1.246,0.282,0.196,0.078,0.067,0.933,0.081,0.750
189,6.300,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.828,0,0.000,0.000,0.000,0.000,1.038,0.510,0.418,0.006,0.066,0.934,0.060,0.000
192,6.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.828,0,0.000,0.000,0.000,0.000,1.301,0.465,2.141,0.046,0.082,0.918,0.070,0.700
195,6.500,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.828,0,0.000,0.000,0.000,0.000,1.055,0.759,1.330,2.082,0.068,0.932,0.043,0.550
198,6.600,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,1,0.828,0,0.000,0.000,0.000,0.000,0.708,0.584,1.236,2.363,0.041,0.959,0.047,0.750
201,6.700,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.828,0,0.000,0.000,0.000,0.000,2.102,0.612,0.785,0.538,0.103,0.897,0.080,0.750
204,6.800,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.828,0,0.000,0.000,0.000,0.000,1.747,0.095,0.725,0.406,0.082,0.918,0.107,0.000
207,6.900,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,1,0.793,0,0.000,0.000,0.000,0.000,1.053,0.321,0.389,0.104,0.091,0.909,0.074,0.750
210,7.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.759,0,0.000,0.000,0.000,0.000,2.631,0.630,0.141,0.236,0.117,0.883,0.092,0.750
213,7.100,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.759,0,0.000,0.000,0.000,0.000,5.468,0.574,0.091,0.636,0.128,0.872,0.167,0.000
216,7.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.759,0,0.000,0.000,0.000,0.000,1.947,0.313,0.363,0.390,0.098,0.902,0.097,0.000
219,7.300,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.759,0,0.000,0.000,0.000,0.000,3.483,0.240,0.348,1.643,0.117,0.883,0.140,0.550
222,7.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.759,0,0.000,0.000,0.000,0.000,3.348,0.663,0.504,1.463,0.123,0.877,0.107,0.550
225,7.500,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.759,0,0.000,0.000,0.000,0.000,4.299,0.784,0.660,0.156,0.145,0.855,0.123,0.000
228,7.600,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.793,0,0.000,0.000,0.000,0.000,3.416,0.834,1.030,0.295,0.131,0.869,0.097,0.000
231,7.700,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.793,0,0.000,0.000,0.000,0.000,4.333,0.945,1.364,0.390,0.127,0.873,0.112,0.000
