frame_idx,timestamp,hand_velocity_left,hand_velocity_right,hand_acceleration_left,hand_acceleration_right,hands_present,grip_state_left,grip_state_right,hand_distance,trajectory_curvature,num_tools,tool_changed,tool_stability,num_interactions,contact_point_shift,contact_point_variance,interaction_density,interaction_rhythm,flow_magnitude,flow_uniformity,flow_discontinuity,direction_change,scene_change_score,visual_stability,activity_level,transition_score
0,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,1.000,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.100,0.000
2,0.080,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,1,0.000,0,0.000,0.000,0.000,0.000,0.301,0.425,0.000,0.044,0.063,0.937,0.148,0.750
4,0.160,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.500,0,0.000,0.000,0.000,0.000,1.871,0.498,0.000,1.718,0.051,0.949,0.182,0.550
6,0.240,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.667,0,0.000,0.000,0.000,0.000,0.590,0.542,0.000,2.630,0.038,0.962,0.147,0.550
8,0.320,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.750,0,0.000,0.000,0.000,0.000,2.567,0.812,0.000,0.315,0.045,0.955,0.177,0.000
10,0.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,5,1,0.600,0,0.000,0.000,0.000,0.000,2.752,0.753,0.000,0.031,0.047,0.953,0.186,0.750
12,0.480,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,5,0,0.667,0,0.000,0.000,0.000,0.000,0.369,0.617,0.000,0.825,0.028,0.972,0.136,0.000
14,0.560,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,1,0.571,0,0.000,0.000,0.000,0.000,0.354,0.939,0.000,1.411,0.023,0.977,0.113,0.750
16,0.640,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.625,0,0.000,0.000,0.000,0.000,0.478,0.824,0.000,0.078,0.047,0.953,0.124,0.000
18,0.720,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.667,0,0.000,0.000,0.000,0.000,0.370,0.725,0.000,0.795,0.033,0.967,0.128,0.000
20,0.800,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.600,0,0.000,0.000,0.000,0.000,0.128,0.979,0.000,1.958,0.017,0.983,0.105,0.750
22,0.880,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.636,0,0.000,0.000,0.000,0.000,0.227,0.922,0.000,2.932,0.049,0.951,0.111,0.550
24,0.960,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.667,0,0.000,0.000,0.000,0.000,0.243,0.931,0.000,0.505,0.035,0.965,0.111,0.000
26,1.040,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.692,0,0.000,0.000,0.000,0.000,0.183,0.646,0.000,1.173,0.042,0.958,0.129,0.000
28,1.120,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.714,0,0.000,0.000,0.000,0.000,0.101,0.844,0.000,1.989,0.019,0.981,0.113,0.550
30,1.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.733,0,0.000,0.000,0.000,0.000,0.166,0.909,0.000,2.471,0.026,0.974,0.111,0.550
32,1.280,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.750,0,0.000,0.000,0.000,0.000,0.135,0.842,0.000,0.207,0.027,0.973,0.114,0.000
34,1.360,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.765,0,0.000,0.000,0.000,0.000,0.158,0.668,0.000,2.293,0.035,0.965,0.127,0.550
36,1.440,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,1,0.722,0,0.000,0.000,0.000,0.000,0.373,0.881,0.000,2.746,0.033,0.967,0.118,0.750
38,1.520,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.737,0,0.000,0.000,0.000,0.000,3.678,0.719,0.000,0.139,0.099,0.901,0.212,0.000
40,1.600,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.750,0,0.000,0.000,0.000,0.000,5.285,0.443,0.000,0.858,0.100,0.900,0.271,0.000
42,1.680,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.762,0,0.000,0.000,0.000,0.000,4.806,0.454,0.000,0.130,0.102,0.898,0.258,0.000
44,1.760,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.773,0,0.000,0.000,0.000,0.000,2.891,0.779,0.000,1.517,0.053,0.947,0.188,0.550
46,1.840,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.783,0,0.000,0.000,0.000,0.000,1.637,0.466,0.000,0.317,0.061,0.939,0.178,0.000
48,1.920,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.792,0,0.000,0.000,0.000,0.000,1.763,0.648,0.000,1.410,0.056,0.944,0.169,0.550
50,2.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,5,1,0.760,0,0.000,0.000,0.000,0.000,2.247,0.792,0.000,0.377,0.066,0.934,0.171,0.750
52,2.080,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,5,0,0.769,0,0.000,0.000,0.000,0.000,1.431,0.769,0.000,0.026,0.068,0.932,0.152,0.000
54,2.160,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,5,0,0.778,0,0.000,0.000,0.000,0.000,1.410,0.923,0.000,0.525,0.047,0.953,0.141,0.000
56,2.240,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,5,0,0.786,0,0.000,0.000,0.000,0.000,1.190,0.945,0.000,0.020,0.036,0.964,0.134,0.000
58,2.320,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,5,0,0.793,0,0.000,0.000,0.000,0.000,0.965,0.943,0.000,0.193,0.046,0.954,0.128,0.000
60,2.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.828,0,0.000,0.000,0.000,0.000,1.236,0.951,0.000,0.022,0.047,0.953,0.134,0.000
62,2.480,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.793,0,0.000,0.000,0.000,0.000,0.366,0.570,1.422,0.343,0.038,0.962,0.139,0.750
64,2.560,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,1,0.759,0,0.000,0.000,0.000,0.000,0.466,0.718,1.442,0.706,0.043,0.957,0.131,0.750
66,2.640,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.724,0,0.000,0.000,0.000,0.000,0.331,0.758,1.692,0.002,0.034,0.966,0.125,0.750
68,2.720,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,1,0.724,0,0.000,0.000,0.000,0.000,0.289,0.897,1.703,2.108,0.031,0.969,0.114,0.750
70,2.800,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,5,0,0.724,0,0.000,0.000,0.000,0.000,0.372,0.890,1.077,2.578,0.038,0.962,0.117,0.550
72,2.880,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,1,0.724,0,0.000,0.000,0.000,0.000,0.213,0.366,0.415,1.639,0.031,0.969,0.150,0.750
74,2.960,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.724,0,0.000,0.000,0.000,0.000,0.166,0.297,0.005,2.083,0.028,0.972,0.153,0.550
76,3.040,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.724,0,0.000,0.000,0.000,0.000,0.232,0.887,0.190,0.317,0.044,0.956,0.114,0.000
78,3.120,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.759,0,0.000,0.000,0.000,0.000,0.149,0.839,0.286,1.993,0.025,0.975,0.115,0.550
80,3.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.759,0,0.000,0.000,0.000,0.000,0.165,0.080,0.401,0.727,0.035,0.965,0.169,0.480
82,3.280,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.759,0,0.000,0.000,0.000,0.000,0.235,0.827,0.567,1.795,0.041,0.959,0.118,0.550
84,3.360,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.759,0,0.000,0.000,0.000,0.000,0.247,0.921,0.673,2.595,0.039,0.961,0.112,0.550
86,3.440,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.759,0,0.000,0.000,0.000,0.000,0.194,0.293,0.782,0.072,0.032,0.968,0.154,0.480
88,3.520,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.759,0,0.000,0.000,0.000,0.000,0.179,0.809,0.885,0.277,0.028,0.972,0.118,0.000
90,3.600,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.759,0,0.000,0.000,0.000,0.000,0.220,0.764,0.981,0.538,0.043,0.957,0.122,0.000
92,3.680,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.759,0,0.000,0.000,0.000,0.000,0.122,0.123,1.108,0.710,0.026,0.974,0.164,0.480
94,3.760,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.793,0,0.000,0.000,0.000,0.000,0.149,0.925,1.142,0.675,0.025,0.975,0.109,0.000
96,3.840,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.793,0,0.000,0.000,0.000,0.000,0.092,0.825,1.187,0.761,0.018,0.982,0.115,0.000
98,3.920,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.793,0,0.000,0.000,0.000,0.000,0.141,0.198,1.193,3.108,0.025,0.975,0.160,0.550
100,4.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,6,1,0.759,0,0.000,0.000,0.000,0.000,0.427,0.925,1.061,0.888,0.055,0.945,0.116,0.750
