frame_idx,timestamp,hand_velocity_left,hand_velocity_right,hand_acceleration_left,hand_acceleration_right,hands_present,grip_state_left,grip_state_right,hand_distance,trajectory_curvature,num_tools,tool_changed,tool_stability,num_interactions,contact_point_shift,contact_point_variance,interaction_density,interaction_rhythm,flow_magnitude,flow_uniformity,flow_discontinuity,direction_change,scene_change_score,visual_stability,activity_level,transition_score
0,0.000,0.000,0.000,0.000,0.000,1,0,0,0.000,0.000,3,0,1.000,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.150,0.000
3,0.100,0.000,12.207,0.000,12.207,1,0,0,0.000,0.000,4,1,0.000,2,0.000,0.000,0.500,0.000,1.889,0.584,0.000,0.619,0.108,0.892,0.444,0.750
6,0.200,0.000,20.224,0.000,8.017,1,0,0,0.000,0.000,4,0,0.500,2,33.121,0.000,0.667,0.414,3.238,0.696,0.000,0.538,0.100,0.900,0.535,0.000
9,0.300,0.000,2.236,0.000,-17.988,1,0,0,0.000,1.886,4,0,0.667,2,9.055,161.778,0.750,0.449,1.811,0.176,0.000,1.632,0.093,0.907,0.445,0.580
12,0.400,0.000,10.440,0.000,8.204,1,0,0,0.000,1.642,4,0,0.750,2,12.083,123.469,0.800,0.464,2.174,0.769,0.000,1.414,0.087,0.913,0.465,0.550
15,0.500,0.000,29.833,0.000,19.393,1,0,0,0.000,1.113,4,0,0.800,2,57.706,333.200,0.833,0.472,4.015,0.222,0.000,0.531,0.100,0.900,0.661,0.480
18,0.600,0.000,0.000,0.000,0.000,1,0,0,0.000,0.000,4,0,0.833,2,45.310,316.389,0.857,0.477,2.195,0.675,0.000,0.193,0.082,0.918,0.421,0.580
21,0.700,0.000,18.439,0.000,-11.394,1,0,1,0.000,1.114,4,0,0.857,2,17.692,346.347,0.875,0.481,2.266,0.864,0.000,0.318,0.096,0.904,0.594,0.550
24,0.800,0.000,20.591,0.000,2.152,1,0,1,0.000,1.350,3,1,0.750,1,17.692,346.347,0.889,0.500,0.735,0.261,0.000,2.950,0.076,0.924,0.581,0.750
27,0.900,0.000,3.606,0.000,-16.986,1,0,1,0.000,1.635,4,1,0.667,2,118.106,1240.023,0.900,0.500,0.976,0.695,0.000,0.003,0.065,0.935,0.494,0.750
30,1.000,0.000,6.325,0.000,2.719,1,0,1,0.000,1.532,4,0,0.700,2,91.049,1945.123,0.909,0.500,0.774,0.366,0.000,2.930,0.075,0.925,0.528,0.550
33,1.100,0.000,8.544,0.000,2.219,1,0,1,0.000,1.451,4,0,0.727,2,139.703,1789.100,0.917,0.500,0.782,0.331,0.000,1.982,0.072,0.928,0.544,0.750
