frame_idx,timestamp,hand_velocity_left,hand_velocity_right,hand_acceleration_left,hand_acceleration_right,hands_present,grip_state_left,grip_state_right,hand_distance,trajectory_curvature,num_tools,tool_changed,tool_stability,num_interactions,contact_point_shift,contact_point_variance,interaction_density,interaction_rhythm,flow_magnitude,flow_uniformity,flow_discontinuity,direction_change,scene_change_score,visual_stability,activity_level,transition_score
0,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,1.000,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.100,0.000
2,0.067,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,1,0.000,0,0.000,0.000,0.000,0.000,0.694,0.499,0.000,2.843,0.033,0.967,0.152,0.750
4,0.133,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.500,0,0.000,0.000,0.000,0.000,0.681,0.411,0.000,0.038,0.030,0.970,0.158,0.000
6,0.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.667,0,0.000,0.000,0.000,0.000,0.747,0.366,0.000,0.167,0.034,0.966,0.163,0.000
8,0.267,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,4,0,0.750,0,0.000,0.000,0.000,0.000,12.510,0.026,0.000,2.707,0.862,0.138,0.368,0.800
10,0.334,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,1,0.600,0,0.000,0.000,0.000,0.000,0.064,0.394,0.000,0.008,0.010,0.990,0.044,0.750
12,0.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.500,0,0.000,0.000,0.000,0.000,0.294,0.446,0.000,0.128,0.020,0.980,0.046,0.750
14,0.467,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.571,0,0.000,0.000,0.000,0.000,0.379,0.292,0.000,0.593,0.015,0.985,0.059,0.000
16,0.534,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.625,0,0.000,0.000,0.000,0.000,0.443,0.601,0.000,1.330,0.015,0.985,0.039,0.550
18,0.601,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.667,0,0.000,0.000,0.000,0.000,0.624,0.672,0.000,0.281,0.030,0.970,0.039,0.000
20,0.667,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.700,0,0.000,0.000,0.000,0.000,0.193,0.795,0.000,1.515,0.013,0.987,0.019,0.550
22,0.734,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.727,0,0.000,0.000,0.000,0.000,0.236,0.505,0.000,0.311,0.013,0.987,0.041,0.000
24,0.801,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.750,0,0.000,0.000,0.000,0.000,0.469,0.689,0.000,0.128,0.016,0.984,0.033,0.000
26,0.868,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.769,0,0.000,0.000,0.000,0.000,0.448,0.672,0.000,0.264,0.015,0.985,0.034,0.000
28,0.934,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.786,0,0.000,0.000,0.000,0.000,0.472,0.654,0.000,0.158,0.039,0.961,0.036,0.000
30,1.001,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.800,0,0.000,0.000,0.000,0.000,0.209,0.860,0.000,0.028,0.010,0.990,0.015,0.000
32,1.068,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.812,0,0.000,0.000,0.000,0.000,0.155,0.901,0.000,0.098,0.010,0.990,0.011,0.000
34,1.134,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,1,0.765,0,0.000,0.000,0.000,0.000,0.050,0.798,0.000,0.241,0.007,0.993,0.015,0.750
36,1.201,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.778,0,0.000,0.000,0.000,0.000,0.088,0.480,0.000,0.302,0.014,0.986,0.039,0.000
38,1.268,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.737,0,0.000,0.000,0.000,0.000,0.122,0.449,0.000,0.071,0.018,0.982,0.042,0.750
40,1.335,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.750,0,0.000,0.000,0.000,0.000,0.127,0.578,0.000,0.083,0.014,0.986,0.033,0.000
42,1.401,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,1,0.714,0,0.000,0.000,0.000,0.000,0.059,0.441,0.000,0.151,0.007,0.993,0.041,0.750
