frame_idx,timestamp,hand_velocity_left,hand_velocity_right,hand_acceleration_left,hand_acceleration_right,hands_present,grip_state_left,grip_state_right,hand_distance,trajectory_curvature,num_tools,tool_changed,tool_stability,num_interactions,contact_point_shift,contact_point_variance,interaction_density,interaction_rhythm,flow_magnitude,flow_uniformity,flow_discontinuity,direction_change,scene_change_score,visual_stability,activity_level,transition_score
0,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,1.000,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000
6,0.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.000,0,0.000,0.000,0.000,0.000,5.959,0.573,0.000,0.339,0.094,0.906,0.179,0.750
12,0.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.500,0,0.000,0.000,0.000,0.000,8.732,0.458,0.000,0.622,0.115,0.885,0.238,0.000
18,0.600,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.667,0,0.000,0.000,0.000,0.000,12.162,0.089,0.000,0.568,0.209,0.791,0.264,0.000
24,0.800,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.750,0,0.000,0.000,0.000,0.000,9.207,0.418,0.000,2.577,0.192,0.808,0.241,0.550
30,1.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.800,0,0.000,0.000,0.000,0.000,9.469,0.344,0.000,1.322,0.151,0.849,0.246,0.550
36,1.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.833,0,0.000,0.000,0.000,0.000,10.501,0.435,0.000,0.109,0.152,0.848,0.240,0.000
42,1.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.857,0,0.000,0.000,0.000,0.000,6.186,0.412,0.000,0.500,0.135,0.865,0.196,0.000
48,1.600,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.875,0,0.000,0.000,0.000,0.000,11.212,0.696,0.000,0.269,0.194,0.806,0.221,0.000
54,1.800,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.889,0,0.000,0.000,0.000,0.000,12.354,0.773,0.000,0.002,0.172,0.828,0.216,0.000
60,2.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.900,0,0.000,0.000,0.000,0.000,15.065,0.568,0.000,0.015,0.185,0.815,0.230,0.000
66,2.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.909,0,0.000,0.000,0.000,0.000,17.614,0.761,0.000,0.020,0.210,0.790,0.217,0.000
