frame_idx,timestamp,hand_velocity_left,hand_velocity_right,hand_acceleration_left,hand_acceleration_right,hands_present,grip_state_left,grip_state_right,hand_distance,trajectory_curvature,num_tools,tool_changed,tool_stability,num_interactions,contact_point_shift,contact_point_variance,interaction_density,interaction_rhythm,flow_magnitude,flow_uniformity,flow_discontinuity,direction_change,scene_change_score,visual_stability,activity_level,transition_score
0,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,1.000,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000
3,0.100,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.000,0,0.000,0.000,0.000,0.000,16.337,0.294,0.000,1.054,0.524,0.476,0.249,0.774
6,0.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.500,0,0.000,0.000,0.000,0.000,13.325,0.049,0.000,1.068,0.581,0.419,0.267,0.800
9,0.300,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.667,0,0.000,0.000,0.000,0.000,15.291,0.785,0.000,0.222,0.472,0.528,0.215,0.722
12,0.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.750,0,0.000,0.000,0.000,0.000,1.558,0.877,0.000,0.482,0.369,0.631,0.048,0.619
15,0.500,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.800,0,0.000,0.000,0.000,0.000,0.749,0.747,0.000,0.022,0.284,0.716,0.036,0.000
18,0.600,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,1,0.667,0,0.000,0.000,0.000,0.000,0.266,0.353,0.000,0.126,0.205,0.795,0.052,0.750
21,0.700,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,2,0,0.714,0,0.000,0.000,0.000,0.000,0.167,0.634,0.000,0.029,0.090,0.910,0.030,0.000
24,0.800,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,1,0.625,0,0.000,0.000,0.000,0.000,0.144,0.657,0.000,0.033,0.055,0.945,0.028,0.750
27,0.900,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.667,0,0.000,0.000,0.000,0.000,4.449,0.673,0.000,1.027,0.881,0.119,0.134,0.800
30,1.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.700,0,0.000,0.000,0.000,0.000,8.940,0.403,0.000,0.848,0.349,0.651,0.242,0.000
33,1.100,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.727,0,0.000,0.000,0.000,0.000,7.085,0.836,0.000,2.529,0.379,0.621,0.189,0.629
36,1.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.750,0,0.000,0.000,0.000,0.000,5.127,0.663,0.000,0.810,0.387,0.613,0.152,0.637
39,1.300,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.769,0,0.000,0.000,0.000,0.000,6.057,0.448,0.000,3.010,0.446,0.554,0.190,0.696
42,1.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.786,0,0.000,0.000,0.000,0.000,0.468,0.449,0.000,0.730,0.169,0.831,0.050,0.000
45,1.500,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.800,0,0.000,0.000,0.000,0.000,0.455,0.710,0.000,1.930,0.085,0.915,0.032,0.550
48,1.600,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.812,0,0.000,0.000,0.000,0.000,0.264,0.859,0.000,2.306,0.045,0.955,0.016,0.550
51,1.700,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.824,0,0.000,0.000,0.000,0.000,6.389,0.662,0.000,2.236,0.571,0.429,0.183,0.800
54,1.800,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.833,0,0.000,0.000,0.000,0.000,4.370,0.284,0.000,1.812,0.333,0.667,0.159,0.550
57,1.900,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.842,0,0.000,0.000,0.000,0.000,4.627,0.406,0.000,1.804,0.178,0.822,0.157,0.550
60,2.000,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.850,0,0.000,0.000,0.000,0.000,2.409,0.648,0.000,2.637,0.217,0.783,0.085,0.550
63,2.100,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.857,0,0.000,0.000,0.000,0.000,6.288,0.281,0.000,1.886,0.343,0.657,0.208,0.550
66,2.200,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.864,0,0.000,0.000,0.000,0.000,3.380,0.085,0.000,0.078,0.320,0.680,0.149,0.000
69,2.300,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.870,0,0.000,0.000,0.000,0.000,0.766,0.421,0.000,0.128,0.165,0.835,0.060,0.000
72,2.400,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.875,0,0.000,0.000,0.000,0.000,2.661,0.400,0.000,0.431,0.333,0.667,0.109,0.000
75,2.500,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.880,0,0.000,0.000,0.000,0.000,2.687,0.464,0.000,0.043,0.328,0.672,0.105,0.000
78,2.600,0.000,0.000,0.000,0.000,0,0,0,0.000,0.000,3,0,0.885,0,0.000,0.000,0.000,0.000,0.783,0.399,0.000,0.295,0.210,0.790,0.062,0.000
